Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-87.00129074,-80.80292911
100.6931669,-85.01752522,-102.8281993
101.3911386,-85.99630128,-150.5653904
102.0939484,-98.62284226,-3.696229213
102.8016298,-88.02801445,59.19710406
103.5142167,-92.68961659,129.3479569
104.2317429,-92.6034284,-74.91824942
104.9542429,-85.87600952,-40.50254675
105.6817509,-86.8355762,-67.17036463
106.4143018,-92.31867281,-27.34673052
107.1519305,-98.07376117,-102.0147967
107.8946722,-89.08560736,127.7573979
108.6425624,-88.81603877,-129.321207
109.3956366,-88.42182971,75.58388501
110.153931,-95.37926199,59.20125905
110.9174815,-91.39679639,-71.52976843
111.6863248,-97.64994413,93.14416002
112.4604974,-89.80830538,25.33253804
113.2400363,-86.20662686,58.37275748
114.0249788,-86.41119621,43.97559839
114.8153621,-93.49766623,2.947853672
115.6112242,-92.65025239,-68.50213432
116.4126029,-83.42299939,-37.07741982
117.2195366,-108.8447713,-174.1880841
118.0320636,-90.28180196,140.6577008
118.8502227,-89.64639582,-27.04486295
119.6740531,-89.03001563,147.9930062
120.503594,-90.03182585,-106.8531543
121.338885,-90.59871649,-111.6347514
122.179966,-91.71660229,85.71829687
123.0268771,-87.07129696,-146.5719416
123.8796587,-94.53223142,43.98909712
124.7383514,-88.55564557,41.85716657
125.6029964,-93.9332842,66.4916517
126.4736347,-96.45416187,115.0064736
127.3503081,-91.02275204,-125.4295915
128.2330583,-90.31063749,-158.3779659
129.1219274,-81.85654795,68.51455535
130.0169578,-101.0961133,32.21345884
130.9181923,-84.76872711,115.7634064
131.8256739,-89.51783233,-15.5373067
132.7394458,-85.51240724,94.99977863
133.6595517,-81.3273542,32.43220759
134.5860354,-84.05889045,-31.45305483
135.5189412,-97.18920922,161.3231862
136.4583137,-82.9555619,-55.25558052
137.4041975,-78.42718208,-10.83500251
138.3566379,-78.84248754,84.47948794
139.3156803,-82.30298308,36.52845042
140.2813705,-78.16586572,141.4619496
141.2537545,-79.6271379,87.10735151
142.2328787,-78.61727954,146.3241188
143.2187899,-80.32836217,-114.8116367
144.2115352,-81.38032239,-69.52190161
145.2111618,-85.45487814,-142.062763
146.2177174,-81.38448712,2.330685418
147.2312502,-77.88803434,42.53253859
148.2518085,-80.97482717,-7.414113119
149.279441,-79.40413612,-167.9085799
150.3141966,-79.64721049,-120.1168492
151.3561248,-77.90469356,-139.2647296
152.4052754,-82.81478127,91.58246145
153.4616983,-79.57562041,-147.8601875
154.525444,-85.83373346,-158.4692366
155.5965632,-80.89961957,84.33456695
156.675107,-81.47146136,-130.5501362
157.761127,-84.36793514,-65.26483345
158.8546749,-82.52193282,161.9127788
159.9558029,-79.76197509,-56.70755943
161.0645635,-82.89439614,62.91437044
162.1810097,-83.58648202,55.11285492
163.3051948,-80.80783358,-135.9191517
164.4371723,-86.36223952,89.13319947
165.5769963,-83.38276474,54.74326904
166.7247213,-78.94654813,-2.739969905
167.8804018,-80.66606483,-56.49085224
169.0440932,-79.66613874,34.94463896
170.2158508,-78.08898917,-52.76185688
171.3957308,-90.16541142,32.90077035
172.5837892,-81.79462083,-177.1525743
173.7800829,-84.57029955,1.415233151
174.9846689,-80.36863515,15.95709973
176.1976046,-86.52992902,46.66997045
177.4189481,-80.42278157,-98.11857303
178.6487575,-87.77529068,90.19727865
179.8870915,-84.55568937,-25.63657733
181.1340093,-96.53474016,32.59005807
182.3895702,-84.87658322,33.2932572
183.6538343,-84.22110016,94.68117454
184.9268619,-87.25875443,76.22479135
186.2087137,-78.52514039,-10.11532448
187.4994508,-85.72794924,-9.448839801
188.7991349,-102.3812165,73.59383984
190.107828,-94.46694553,37.90705003
191.4255925,-96.38249456,-166.334231
192.7524913,-85.07238157,64.25229631
194.0885878,-85.05202965,-12.06711727
195.4339456,-87.46932138,12.90262325
196.788629,-91.76973011,-25.45212187
198.1527026,-89.48853677,-71.282402
199.5262315,-81.77014829,-9.414618364
200.9092813,-80.59865953,-18.91603748
202.3019179,-91.96551775,-28.91496815
203.7042078,-94.1785697,156.0506349
205.1162179,-83.89578417,6.943075569
206.5380156,-83.94454885,33.18108625
207.9696687,-88.14261994,-68.19962178
209.4112456,-82.17563459,-45.80024818
210.862815,-84.3974547,-43.13917521
212.3244462,-88.28168172,-59.10900067
213.796209,-80.78832848,42.03450522
215.2781735,-85.54582866,-41.61623307
216.7704105,-91.59752929,-36.48314308
218.2729912,-85.6144711,-17.70565923
219.7859873,-88.63204867,72.55237231
221.309471,-86.61751349,-28.81575448
222.8435149,-82.85967494,-45.28131978
224.3881924,-80.82602855,-28.1913891
225.943577,-90.96370069,62.10629452
227.5097431,-81.91009243,43.20895446
229.0867653,-83.92863378,-44.68964582
230.6747189,-83.42193855,51.58771053
232.2736796,-83.88355758,36.38156959
233.8837239,-83.5035667,73.74727068
235.5049284,-85.89088844,-31.89971127
237.1373706,-89.69057669,-46.29992993
238.7811283,-88.85742395,125.9744239
240.43628,-84.12343967,-58.58964662
242.1029047,-84.23405634,-70.77038156
243.7810818,-86.1239361,19.35288772
245.4708916,-80.19005088,48.75198893
247.1724145,-84.56812858,13.95813531
248.8857318,-89.70738293,-18.58560258
250.6109253,-83.81324909,-20.1139986
252.3480772,-86.90477416,-80.10967928
254.0972706,-87.84718592,-9.722029508
255.8585887,-79.23103153,-18.22808346
257.6321157,-86.9282807,19.11747695
259.4179362,-82.95702386,-41.97840336
261.2161354,-80.4195067,9.634999908
263.0267992,-80.41537658,-6.542287381
264.8500139,-88.52154562,-62.84409301
266.6858665,-80.5487352,22.91857695
268.5344446,-81.48373709,1.49684271
270.3958364,-82.63840934,-65.17712153
272.2701308,-79.25188217,-8.882459161
274.1574172,-77.59502977,4.324957897
276.0577856,-80.82049914,-47.7728094
277.9713268,-84.46864801,-21.90226972
279.898132,-83.97318383,55.84412056
281.8382931,-81.21936774,29.56100721
283.7919028,-79.99915424,5.08262105
285.7590543,-78.73121243,-7.312920084
287.7398415,-86.12089314,36.47679562
289.7343588,-82.69546128,-9.803558906
291.7427014,-77.53135002,17.78296517
293.7649652,-81.93201146,-27.82678595
295.8012467,-81.37629055,16.87879651
297.8516429,-79.97375639,14.61219297
299.9162519,-76.44392971,-16.19246349
301.995172,-77.38081354,-13.54368867
304.0885026,-81.00562418,4.869713446
306.1963434,-78.49403235,-8.145205508
308.318795,-78.52209606,6.587838686
310.4559588,-74.8121145,0.114923904
312.6079367,-74.20444729,-7.669946597
314.7748314,-80.09600758,5.477046254
316.9567463,-83.13102072,-29.02340796
319.1537855,-79.3056817,-16.54873491
321.3660539,-80.22250873,1.119803426
323.5936569,-74.15144175,0.379834491
325.836701,-75.75121416,-4.518280413
328.0952931,-78.36233246,13.77230547
330.369541,-77.01793117,-2.477310609
332.6595533,-76.68463707,-35.89817019
334.9654392,-76.03777931,4.147593615
337.2873087,-76.78543084,-16.17935598
339.6252726,-72.70518132,-4.745540942
341.9794425,-76.13008798,-3.561961321
344.3499308,-75.34392926,-16.87788079
346.7368505,-76.78899655,-5.995537802
349.1403155,-72.82987754,17.6872285
351.5604405,-73.37721265,-0.211969588
353.9973411,-74.43344331,4.739796804
356.4511334,-74.64800522,-22.85516309
358.9219346,-73.63140702,4.32969877
361.4098626,-73.55124448,-2.592046162
363.9150361,-72.63344146,-16.73131911
366.4375746,-74.4717774,-1.212657613
368.9775986,-73.99176574,5.661455848
371.5352291,-71.57109945,-15.91053637
374.1105883,-71.66680822,0.416871306
376.703799,-72.45005803,3.495345398
379.314985,-71.24685748,-3.726852797
381.9442708,-70.99306352,-3.537905122
384.591782,-70.82919904,-21.86298363
387.2576449,-71.15284413,-23.08709387
389.9419867,-72.67487139,-6.0835558
392.6449354,-72.20023794,-1.101653357
395.3666201,-69.73789518,-3.884554189
398.1071706,-72.19037137,-12.03769554
400.8667176,-70.95524815,-7.715852183
403.645393,-70.74926302,-0.128513204
406.4433292,-70.35104126,-11.5433651
409.2606597,-69.21158946,-15.95912473
412.0975191,-70.2049948,-25.87887946
414.9540426,-69.35238033,-13.33775538
417.8303666,-70.06074647,0.193899973
420.7266284,-69.77300401,-11.12765903
423.642966,-67.45366263,-12.09973164
426.5795188,-69.82703021,5.769674295
429.5364268,-67.88753444,-13.62291008
432.513831,-67.64831442,-5.957996495
435.5118737,-67.95667012,-10.45507509
438.5306978,-66.66088675,-9.418257994
441.5704474,-67.26441678,-7.636494686
444.6312675,-67.44574922,-14.07749391
447.7133042,-67.16718428,-7.339674548
450.8167045,-66.76622776,-3.107105561
453.9416167,-66.39848398,1.21212776
457.0881896,-64.67884832,-16.91215257
460.2565736,-65.59417156,-16.24868902
463.4469197,-65.88862349,-8.737359713
466.6593803,-64.73808754,-8.098173196
469.8941086,-65.25675202,-15.0267188
473.151259,-65.228392,-13.59252412
476.4309868,-63.95174855,-7.389933461
479.7334486,-64.25096889,-8.44723678
483.058802,-64.32939695,-16.61292343
486.4072057,-63.40754738,-11.54383103
489.7788194,-63.42258302,-15.28349095
493.173804,-63.67466571,-12.16166455
496.5923215,-63.7225145,-14.23248238
500.034535,-63.8736901,-8.037955433
503.5006088,-63.43882668,-13.38788706
506.9907083,-61.27855492,-8.96258229
510.505,-62.59140099,-17.04488599
514.0436516,-60.73325902,-7.860533281
517.606832,-61.09571584,-12.70557351
521.1947111,-60.52477147,-16.22167031
524.8074602,-61.20203628,-10.90161795
528.4452518,-60.64264998,-10.79959944
532.1082593,-60.52217626,-8.849067289
535.7966575,-60.01831335,-14.42050458
539.5106225,-60.162813,-12.77247058
543.2503315,-59.73428727,-5.849033903
547.0159629,-59.04824494,-14.19557104
550.8076964,-59.33057977,-14.01714397
554.625713,-58.84443251,-15.54129071
558.4701947,-58.26223359,-13.61890874
562.3413252,-57.98621584,-13.52887321
566.239289,-57.71620427,-14.78497424
570.1642723,-57.65855337,-13.35922947
574.1164622,-57.73286978,-13.12466827
578.0960474,-57.47391473,-15.02627427
582.1032178,-57.35991673,-15.03946834
586.1381645,-56.83339097,-16.5152459
590.2010802,-56.58584495,-13.87829453
594.2921586,-57.03863476,-13.01808425
598.4115951,-56.28471667,-16.67277739
602.5595861,-56.12446023,-15.67244804
606.7363296,-55.94409647,-14.93027537
610.9420249,-55.14245127,-15.14682778
615.1768727,-55.21359108,-15.24538804
619.4410751,-54.89919071,-12.91854253
623.7348355,-54.38771025,-12.6786841
628.0583588,-54.147994,-13.47262411
632.4118514,-54.03681647,-12.7850609
636.7955209,-53.90970936,-15.02235325
641.2095766,-53.76189186,-15.83647314
645.654229,-54.10394871,-15.82527302
650.1296903,-53.18868524,-16.93240308
654.6361741,-53.00239625,-15.37252473
659.1738952,-52.92785406,-16.33481117
663.7430704,-52.40562992,-17.33804282
668.3439176,-52.26859322,-14.83139506
672.9766563,-51.98947303,-14.7225569
677.6415076,-51.91708444,-15.87102353
682.3386941,-51.22965082,-15.47388489
687.06844,-51.14634828,-13.83749171
691.8309709,-50.66905049,-16.05560551
696.6265141,-50.59784165,-16.6311612
701.4552984,-50.32395438,-17.98526215
706.3175543,-49.92406326,-16.57456082
711.2135137,-49.82002709,-17.5344661
716.1434102,-49.24819624,-17.95362865
721.1074792,-49.12900473,-17.6891909
726.1059574,-48.99147218,-18.43572891
731.1390835,-48.43944187,-17.44137729
736.2070975,-48.51625063,-19.91607935
741.3102413,-48.21055455,-17.41287485
746.4487584,-47.96927803,-17.16651859
751.622894,-47.83911502,-18.43454834
756.832895,-47.53571051,-17.92658305
762.07901,-47.06786081,-18.01278347
767.3614894,-47.013072,-18.96804634
772.6805851,-46.58201552,-18.43529324
778.036551,-46.31486436,-18.34818805
783.4296428,-46.23274327,-18.26250912
788.8601176,-45.9039539,-19.70601826
794.3282347,-45.68151346,-18.53863011
799.834255,-45.49200264,-19.34470775
805.3784412,-45.00375112,-19.1607603
810.9610579,-45.07240856,-19.45863969
816.5823714,-44.32581905,-21.4275293
822.2426499,-44.27004996,-19.58769347
827.9421637,-44.1255769,-21.85131814
833.6811846,-43.50650514,-21.17964731
839.4599865,-43.36593828,-22.14319527
845.2788452,-43.13598664,-21.15387896
851.1380382,-42.74145855,-22.20794496
857.0378452,-42.54704181,-21.93222402
862.9785478,-42.38527138,-22.4175377
868.9604293,-42.09069918,-22.50679378
874.9837752,-41.67175094,-22.23902207
881.048873,-41.61997359,-23.13123332
887.156012,-41.18160078,-22.72000169
893.3054837,-40.94000269,-22.67639547
899.4975815,-40.75354988,-23.25508435
905.7326009,-40.45860031,-22.80270077
912.0108394,-40.0150822,-23.51448542
918.3325965,-39.7806119,-24.56613631
924.6981739,-39.54417452,-23.90762257
931.1078755,-39.21733119,-25.13910564
937.5620069,-38.99572935,-25.16640186
944.0608763,-38.69712416,-25.04973017
950.6047937,-38.31662094,-24.92785947
957.1940713,-38.17562369,-24.75848494
963.8290236,-37.93122451,-25.90193877
970.5099672,-37.62821302,-24.99354757
977.237221,-37.4866133,-26.40396988
984.0111058,-37.12847503,-26.47305518
990.8319449,-36.725866,-26.83515163
997.7000638,-36.3917094,-25.71120537
1004.61579,-36.18699765,-25.6231641
1011.579454,-35.96549231,-27.88966355
1018.591388,-35.74160235,-27.09610542
1025.651926,-35.46173406,-27.35995826
1032.761406,-35.13361791,-27.38865889
1039.920166,-34.76166913,-28.16808079
1047.128548,-34.56431017,-28.70868404
1054.386896,-34.17005963,-28.67479841
1061.695557,-34.00134567,-29.17857985
1069.054879,-33.65207802,-28.71947794
1076.465214,-33.40923719,-29.20411656
1083.926914,-33.02752859,-29.59468039
1091.440336,-32.81049029,-29.72843237
1099.005839,-32.42962513,-30.21012981
1106.623784,-32.21769498,-30.27286453
1114.294534,-31.89453381,-30.2116039
1122.018454,-31.56264407,-31.53080635
1129.795915,-31.34229075,-31.41512879
1137.627286,-31.03008424,-31.71583056
1145.512941,-30.71942316,-32.06066401
1153.453258,-30.47174456,-31.99865153
1161.448614,-30.10494597,-32.50772026
1169.499391,-29.82876678,-33.06674463
1177.605974,-29.5494191,-33.11986751
1185.768748,-29.24710704,-32.95426945
1193.988104,-28.92131248,-33.76404862
1202.264435,-28.66276587,-34.02416307
1210.598134,-28.23723988,-34.8700526
1218.989599,-27.93890141,-34.60878053
1227.439231,-27.65601505,-35.31871152
1235.947433,-27.38556305,-35.8871813
1244.514612,-27.09804755,-36.07380074
1253.141175,-26.69339384,-36.35138281
1261.827535,-26.38478021,-37.07478831
1270.574105,-26.05665946,-36.9591637
1279.381304,-25.7274274,-37.48917345
1288.249552,-25.40615739,-37.65436708
1297.179271,-25.12189286,-38.34697987
1306.170888,-24.77299382,-38.62413292
1315.224832,-24.43310419,-39.2406975
1324.341535,-24.12680333,-39.34449173
1333.521432,-23.74628146,-40.14319158
1342.764961,-23.42735729,-40.39288483
1352.072563,-23.11432659,-41.12027453
1361.444682,-22.74584703,-41.67876429
1370.881766,-22.45389508,-42.11071195
1380.384265,-22.08194991,-42.65985638
1389.952631,-21.79313508,-43.39862188
1399.587323,-21.4129204,-43.84980874
1409.288798,-21.04720505,-44.2200655
1419.057522,-20.69929418,-44.80885942
1428.893959,-20.34690157,-45.21843002
1438.798578,-19.97101354,-45.92221229
1448.771854,-19.65902091,-46.52364623
1458.81426,-19.25866823,-47.24820397
1468.926278,-18.89297012,-47.7837684
1479.108388,-18.51796642,-48.58801214
1489.361078,-18.21629944,-49.14373841
1499.684836,-17.7721415,-49.86807736
1510.080154,-17.40927774,-50.78447943
1520.54753,-17.02454212,-51.56315855
1531.087462,-16.68979316,-52.20889341
1541.700453,-16.29028926,-52.94743246
1552.38701,-15.87508154,-53.99056074
1563.147643,-15.48356785,-54.68990244
1573.982864,-15.09461482,-55.60113073
1584.893192,-14.69676892,-56.74890228
1595.879147,-14.2958755,-57.69361694
1606.941253,-13.89817583,-58.65497436
1618.080038,-13.49752866,-59.6186936
1629.296033,-13.09546325,-60.79164743
1640.589773,-12.64093855,-61.97374632
1651.961798,-12.24399546,-63.02118141
1663.41265,-11.81613667,-64.2725902
1674.942876,-11.36585516,-65.61920067
1686.553025,-10.93073579,-66.91888854
1698.243652,-10.53036895,-68.42086885
1710.015315,-10.08653415,-69.90454582
1721.868575,-9.626985414,-71.48496894
1733.803998,-9.175020828,-73.24780901
1745.822153,-8.754642466,-75.11694384
1757.923614,-8.31957827,-76.8019556
1770.108958,-7.866368046,-78.72027778
1782.378767,-7.420148385,-80.76611965
1794.733627,-6.99335813,-83.0496364
1807.174126,-6.559381868,-85.30862008
1819.700859,-6.122589992,-87.8568431
1832.314422,-5.686911851,-90.30205488
1845.015419,-5.269281456,-92.88422112
1857.804455,-4.856175846,-95.59104499
1870.68214,-4.461009223,-98.58451218
1883.649089,-4.066948168,-101.5431731
1896.705921,-3.694568184,-104.7416523
1909.853259,-3.335569065,-108.0126022
1923.091729,-3.017628591,-111.3329518
1936.421964,-2.708301731,-114.8678358
1949.8446,-2.428363627,-118.3856796
1963.360277,-2.179765865,-122.0044281
1976.96964,-1.961602426,-125.5592144
1990.673339,-1.786621047,-129.2923164
2004.472027,-1.629973569,-132.8822154
2018.366364,-1.487368727,-136.505073
2032.357011,-1.38432337,-140.062995
2046.444637,-1.288853115,-143.5102606
2060.629913,-1.247617196,-147.0497045
2074.913517,-1.200935531,-150.2247412
2089.296131,-1.196766262,-153.4041592
2103.77844,-1.201487084,-156.3905335
2118.361135,-1.209085485,-159.4281941
2133.044913,-1.246059806,-162.3187495
2147.830474,-1.276503011,-164.9540656
2162.718524,-1.328522569,-167.5043973
2177.709772,-1.373903133,-170.0532098
2192.804935,-1.427155561,-172.3007525
2208.004733,-1.48860379,-174.5816941
2223.309891,-1.5604727,-176.7587578
2238.721139,-1.6238399,-178.8243214
2254.239212,-1.674967,179.2918962
2269.864852,-1.747084207,177.4711134
2285.598803,-1.787732578,175.6223807
2301.441817,-1.843993554,173.9432734
2317.39465,-1.895150813,172.269925
2333.458062,-1.953467361,170.7846451
2349.632821,-2.004873508,169.2002879
2365.919697,-2.045500203,167.6820616
2382.319469,-2.084654687,166.3448768
2398.832919,-2.126237499,164.8939631
2415.460834,-2.156600396,163.7556038
2432.204009,-2.187410544,162.4325448
2449.063242,-2.213902888,161.2397216
2466.039337,-2.234864052,160.0149724
2483.133105,-2.249291495,158.9183527
2500.345362,-2.273161075,157.7537036
2517.676928,-2.284658287,156.5785545
2535.12863,-2.280855662,155.5008029
2552.701303,-2.286207225,154.4971797
2570.395783,-2.302131919,153.4739502
2588.212915,-2.304816845,152.5336905
2606.15355,-2.290695099,151.478114
2624.218543,-2.286967858,150.5178311
2642.408757,-2.268483791,149.605973
2660.72506,-2.258637101,148.6323919
2679.168325,-2.243223826,147.6962283
2697.739432,-2.220358368,146.748056
2716.439269,-2.205363413,145.898673
2735.268726,-2.174322269,144.9987364
2754.228703,-2.140784581,144.1497978
2773.320105,-2.107447071,143.2706722
2792.543841,-2.076136841,142.4239236
2811.90083,-2.043750667,141.5638276
2831.391996,-2.008919732,140.7125233
2851.018268,-1.965819574,139.8336417
2870.780582,-1.927153823,138.986518
2890.679882,-1.884334655,138.2062671
2910.717118,-1.8307849,137.3670117
2930.893245,-1.781753488,136.5658015
2951.209227,-1.734942823,135.6864117
2971.666032,-1.685706035,134.8825299
2992.264637,-1.622640906,134.1129458
3013.006024,-1.576392818,133.2621486
3033.891184,-1.510183886,132.4377156
3054.921113,-1.451084744,131.6560943
3076.096815,-1.389990635,130.8344123
3097.419299,-1.323289021,130.0424837
3118.889584,-1.263063209,129.2447604
3140.508694,-1.20226017,128.4413967
3162.27766,-1.129045975,127.633936
3184.197522,-1.061048842,126.799187
3206.269325,-0.995735963,125.983762
3228.494122,-0.918810217,125.1764129
3250.872974,-0.844933475,124.3653217
3273.406949,-0.770059736,123.5611199
3296.097122,-0.701480721,122.7214433
3318.944576,-0.619343598,121.9060754
3341.9504,-0.54012259,121.0731165
3365.115694,-0.470961711,120.2249
3388.441561,-0.388333188,119.3992276
3411.929116,-0.308181679,118.5921076
3435.579479,-0.22941809,117.726384
