Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
312.6079367,-88.8108526,-86.24449741
314.7748314,-88.27997464,-6.924738113
316.9567463,-92.74997529,168.3819045
319.1537855,-87.42192102,48.13157283
321.3660539,-92.87351932,-71.28798678
323.5936569,-88.22182863,-152.2709188
325.836701,-90.1128705,84.30381027
328.0952931,-95.5822798,136.1277435
330.369541,-85.6405026,-96.74726731
332.6595533,-90.40375823,-44.77259458
334.9654392,-88.90939052,-6.777875141
337.2873087,-93.67651331,84.68254463
339.6252726,-88.47060413,-176.1240418
341.9794425,-91.87161379,-161.0684969
344.3499308,-87.52512175,-158.3205759
346.7368505,-90.74556198,148.2001127
349.1403155,-92.30225456,-130.3255934
351.5604405,-90.43482964,-111.633941
353.9973411,-86.24052557,-68.14680824
356.4511334,-92.89404142,-85.11819585
358.9219346,-98.06544564,156.1798919
361.4098626,-87.44476375,-96.93182101
363.9150361,-88.80588153,3.296594779
366.4375746,-86.81554734,-12.22861166
368.9775986,-91.54227093,-177.7920662
371.5352291,-95.82996549,37.98576226
374.1105883,-83.70555983,-36.16041091
376.703799,-85.74924029,-105.995214
379.314985,-91.53238146,-132.1933637
381.9442708,-91.33460492,10.27530697
384.591782,-93.10409323,-83.44751857
387.2576449,-88.74024821,-166.2317456
389.9419867,-89.73660982,-162.5236933
392.6449354,-83.18631452,157.8300024
395.3666201,-89.21013595,-19.81500738
398.1071706,-95.19668713,152.1198596
400.8667176,-88.96840111,-178.3071786
403.645393,-86.27479774,-177.719599
406.4433292,-87.69058941,-109.538728
409.2606597,-86.56366858,103.8370025
412.0975191,-83.84293761,-145.3495037
414.9540426,-88.71515308,-156.8481037
417.8303666,-83.47978102,-159.1404659
420.7266284,-94.35568283,-38.95114999
423.642966,-86.31564804,-149.2446334
426.5795188,-85.37972036,173.7333098
429.5364268,-92.90882057,-126.0922753
432.513831,-83.85661279,129.2339745
435.5118737,-104.928224,70.04124426
438.5306978,-84.61238713,-147.0099624
441.5704474,-89.8660699,155.1014621
444.6312675,-90.46063952,-168.451065
447.7133042,-86.75215433,3.517818672
450.8167045,-84.4289213,-162.6647503
453.9416167,-94.8657537,-65.93473381
457.0881896,-92.24458554,142.9717563
460.2565736,-96.29893121,-149.0160551
463.4469197,-83.41963839,171.1280992
466.6593803,-93.70902105,130.9610068
469.8941086,-88.19166562,-98.37409266
473.151259,-87.94513211,-124.8309697
476.4309868,-86.21113673,177.8565543
479.7334486,-93.35741696,-169.3174428
483.058802,-88.12871338,101.5542364
486.4072057,-89.12355244,152.9292544
489.7788194,-88.72474144,173.8114548
493.173804,-89.73648188,-100.5058764
496.5923215,-84.71910321,-176.3208199
500.034535,-87.39582409,-114.9136666
503.5006088,-84.88350354,-150.8354044
506.9907083,-95.88138222,134.0193199
510.505,-81.48586061,-178.5043845
514.0436516,-83.44291075,-171.7837538
517.606832,-90.67788049,-94.80411247
521.1947111,-89.24945268,173.7462604
524.8074602,-81.0207579,-158.0931335
528.4452518,-84.77856786,-163.6315574
532.1082593,-83.34424403,-156.0935253
535.7966575,-80.31188856,-163.7448366
539.5106225,-83.04171334,120.168492
543.2503315,-84.09156495,-167.5989864
547.0159629,-89.77511305,-119.0246041
550.8076964,-84.56656715,-166.539413
554.625713,-87.93858178,168.5839886
558.4701947,-81.43713398,-163.250424
562.3413252,-87.90803502,-133.897055
566.239289,-79.78998318,164.9271688
570.1642723,-81.907421,-156.875038
574.1164622,-86.13311036,166.9345767
578.0960474,-79.28421294,173.0520511
582.1032178,-87.97714324,-135.1429056
586.1381645,-79.08973851,172.2531094
590.2010802,-82.64540088,-152.3179696
594.2921586,-80.54321503,162.3167837
598.4115951,-79.06194456,154.9731871
602.5595861,-79.48799386,-179.4190467
606.7363296,-80.04668094,140.8023326
610.9420249,-82.17947453,143.6450622
615.1768727,-77.71975486,178.380324
619.4410751,-76.33526163,173.2508297
623.7348355,-77.07412125,169.0940714
628.0583588,-82.13278266,-167.2365624
632.4118514,-78.71670461,171.9327375
636.7955209,-77.44879429,-179.1616383
641.2095766,-80.55552311,-173.3050053
645.654229,-78.17289702,-178.5618094
650.1296903,-78.66550688,178.0535793
654.6361741,-75.07164691,-168.739218
659.1738952,-78.16988424,177.7858067
663.7430704,-77.43853525,164.5295266
668.3439176,-79.67312062,172.6698812
672.9766563,-75.28231616,-170.3115717
677.6415076,-79.11280632,173.5347443
682.3386941,-76.34085613,168.098696
687.06844,-74.57881112,168.9969315
691.8309709,-74.72070496,171.235369
696.6265141,-75.00527916,-173.4340783
701.4552984,-74.90929474,174.3655723
706.3175543,-75.4596269,-179.6383622
