Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-51.55712168,-2.101858466
101.3911386,-51.23089131,-2.310551857
102.8016298,-50.95478925,-3.219097888
104.2317429,-50.80435539,-1.86782094
105.6817509,-50.55350746,-2.618337003
107.1519305,-50.26591062,-3.182159476
108.6425624,-49.95919398,-2.209570183
110.153931,-49.88578287,-2.870698035
111.6863248,-49.62817242,-3.014004808
113.2400363,-49.33444309,-2.29676194
114.8153621,-49.02827335,-2.513100112
116.4126029,-48.79591692,-2.567073107
118.0320636,-48.68119132,-2.262738568
119.6740531,-48.41790202,-2.776114775
121.338885,-48.19934471,-2.366428276
123.0268771,-47.90644829,-2.063677542
124.7383514,-47.63806288,-2.64268997
126.4736347,-47.4382304,-2.557139366
128.2330583,-47.10498867,-2.607460216
130.0169578,-46.9890332,-2.624561827
131.8256739,-46.6620601,-2.399693248
133.6595517,-46.43564759,-2.533743655
135.5189412,-46.18759838,-2.350888433
137.4041975,-45.95559521,-2.489217438
139.3156803,-45.73763217,-2.277394811
141.2537545,-45.46420604,-2.748945274
143.2187899,-45.26751277,-2.370484938
145.2111618,-44.96725226,-2.702087331
147.2312502,-44.77301529,-2.703390006
149.279441,-44.500608,-2.427356073
151.3561248,-44.27392024,-2.599655496
153.4616983,-44.03498433,-2.596334979
155.5965632,-43.77747003,-2.552400089
157.761127,-43.56762694,-2.488763245
159.9558029,-43.28604435,-2.164592115
162.1810097,-43.02342285,-2.629311689
164.4371723,-42.79767104,-2.384145606
166.7247213,-42.56269705,-2.645883777
169.0440932,-42.34645802,-2.44080849
171.3957308,-42.04552861,-2.387931586
173.7800829,-41.83715696,-2.583507045
176.1976046,-41.60897294,-2.590992892
178.6487575,-41.33392399,-2.528182628
181.1340093,-41.12154123,-2.565972754
183.6538343,-40.89300651,-2.682894935
186.2087137,-40.60618111,-2.656194936
188.7991349,-40.38033969,-2.431655547
191.4255925,-40.1532216,-2.716671888
194.0885878,-39.89341974,-2.676774595
196.788629,-39.62115182,-2.784828122
199.5262315,-39.42984203,-2.720631387
202.3019179,-39.16720512,-2.835063024
205.1162179,-38.93504329,-2.648320217
207.9696687,-38.6920127,-2.709784006
210.862815,-38.45514897,-2.805123643
213.796209,-38.23919717,-2.784644996
216.7704105,-37.96679495,-2.832492971
219.7859873,-37.74287367,-2.817066094
222.8435149,-37.49459195,-2.857010967
225.943577,-37.25061647,-2.774267331
229.0867653,-37.00452458,-2.775895606
232.2736796,-36.76919527,-2.762896875
235.5049284,-36.52992504,-2.913414598
238.7811283,-36.29037594,-2.890991482
242.1029047,-36.06949541,-2.931493556
245.4708916,-35.81184583,-2.991052572
248.8857318,-35.5860897,-3.069769732
252.3480772,-35.32929682,-3.025840442
255.8585887,-35.0803389,-2.912517284
259.4179362,-34.82540056,-2.937011818
263.0267992,-34.60153032,-2.902029848
266.6858665,-34.36657016,-3.068136781
270.3958364,-34.12281292,-3.152913272
274.1574172,-33.86521019,-3.143169849
277.9713268,-33.64374779,-3.067600471
281.8382931,-33.37801955,-3.107087543
285.7590543,-33.13513705,-3.131781004
289.7343588,-32.89878756,-3.123063109
293.7649652,-32.65925955,-3.274266709
297.8516429,-32.42468584,-3.147379904
301.995172,-32.17534959,-3.237876445
306.1963434,-31.9445219,-3.366539461
310.4559588,-31.68540715,-3.240178438
314.7748314,-31.44445591,-3.366325859
319.1537855,-31.19319529,-3.354393456
323.5936569,-30.94989161,-3.386778394
328.0952931,-30.70468943,-3.352348923
332.6595533,-30.4452794,-3.416000869
337.2873087,-30.21265749,-3.496573748
341.9794425,-29.96010918,-3.485214224
346.7368505,-29.71696194,-3.546664833
351.5604405,-29.46683652,-3.6003542
356.4511334,-29.22792423,-3.490837366
361.4098626,-28.97700351,-3.573778575
366.4375746,-28.72444513,-3.609518858
371.5352291,-28.49345831,-3.72179295
376.703799,-28.23917606,-3.64416066
381.9442708,-28.00026011,-3.748232198
387.2576449,-27.74589584,-3.753902104
392.6449354,-27.4931576,-3.796458709
398.1071706,-27.25645621,-3.8548606
403.645393,-27.01074979,-3.841019773
409.2606597,-26.76012956,-3.963741079
414.9540426,-26.51007871,-3.998971173
420.7266284,-26.25566071,-4.019122851
426.5795188,-25.99623451,-3.985077155
432.513831,-25.74998232,-4.100926559
438.5306978,-25.50546426,-4.113225703
444.6312675,-25.25201807,-4.160676005
450.8167045,-24.99671248,-4.213493759
457.0881896,-24.7479369,-4.272225556
463.4469197,-24.49037144,-4.298467148
469.8941086,-24.23693874,-4.34896885
476.4309868,-23.98640182,-4.426471854
483.058802,-23.73451311,-4.465551951
489.7788194,-23.47299983,-4.525409047
496.5923215,-23.22180007,-4.55678159
503.5006088,-22.96619423,-4.619728864
510.505,-22.70201131,-4.620190279
517.606832,-22.44914102,-4.674839851
524.8074602,-22.19704603,-4.787155165
532.1082593,-21.93436771,-4.842437099
539.5106225,-21.67908603,-4.883986285
547.0159629,-21.41979016,-4.955218755
554.625713,-21.16226097,-4.977376258
562.3413252,-20.89330175,-5.106589793
570.1642723,-20.6375593,-5.131887338
578.0960474,-20.37107778,-5.173133228
586.1381645,-20.12122366,-5.284664821
594.2921586,-19.84896198,-5.33995784
602.5595861,-19.5842866,-5.421251828
610.9420249,-19.32245558,-5.522552212
619.4410751,-19.05893801,-5.560829527
628.0583588,-18.79286475,-5.642766108
636.7955209,-18.52789734,-5.718097189
645.654229,-18.25793429,-5.814408711
654.6361741,-17.98948759,-5.905067818
663.7430704,-17.72093104,-5.962886308
672.9766563,-17.45539424,-6.046180902
682.3386941,-17.18327139,-6.124050358
691.8309709,-16.91069368,-6.236350562
701.4552984,-16.63770749,-6.331298455
711.2135137,-16.36293749,-6.436632174
721.1074792,-16.08696556,-6.510483646
731.1390835,-15.80962055,-6.628630549
741.3102413,-15.53116848,-6.731365257
751.622894,-15.253162,-6.84171287
762.07901,-14.97033861,-6.938522617
772.6805851,-14.68643664,-7.065217614
783.4296428,-14.40332812,-7.176712626
794.3282347,-14.11968631,-7.280366343
805.3784412,-13.83272942,-7.443239883
816.5823714,-13.54818354,-7.551559502
827.9421637,-13.25823389,-7.68633868
839.4599865,-12.9680058,-7.815799418
851.1380382,-12.67511694,-7.953349909
862.9785478,-12.38071562,-8.11266763
874.9837752,-12.08633394,-8.24264749
887.156012,-11.78773313,-8.394953358
899.4975815,-11.48624882,-8.563359079
912.0108394,-11.18233526,-8.726044307
924.6981739,-10.87814676,-8.901554003
937.5620069,-10.57025791,-9.072881477
950.6047937,-10.26194017,-9.26165963
963.8290236,-9.949914403,-9.454567274
977.237221,-9.636628727,-9.650711652
990.8319449,-9.316998244,-9.856494816
1004.61579,-8.997607134,-10.0614681
1018.591388,-8.673236079,-10.28798493
1032.761406,-8.34701323,-10.51841965
1047.128548,-8.015199415,-10.7491965
1061.695557,-7.682020494,-11.00899743
1076.465214,-7.343907978,-11.27480514
1091.440336,-7.003299892,-11.54770349
1106.623784,-6.658053158,-11.82988208
1122.018454,-6.307686341,-12.13517572
1137.627286,-5.956433782,-12.449977
1153.453258,-5.59660543,-12.78526159
1169.499391,-5.2328872,-13.12914014
1185.768748,-4.864304117,-13.49520955
1202.264435,-4.491081234,-13.87677758
1218.989599,-4.111764475,-14.27774722
1235.947433,-3.725402084,-14.71056953
1253.141175,-3.333549355,-15.1633783
1270.574105,-2.935031717,-15.65042971
1288.249552,-2.526723099,-16.16215785
1306.170888,-2.11288393,-16.70993523
