Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-28.16853741,88.08415734
101.3911386,-28.05823097,88.0859167
102.8016298,-27.94131902,88.04259948
104.2317429,-27.82926962,87.99683379
105.6817509,-27.70417732,88.00466733
107.1519305,-27.57592171,87.93911156
108.6425624,-27.46199973,87.95165262
110.153931,-27.34214244,87.89424546
111.6863248,-27.21733608,87.91998618
113.2400363,-27.10685721,87.83729988
114.8153621,-26.98614623,87.82717547
116.4126029,-26.86366527,87.82687687
118.0320636,-26.74921328,87.80900489
119.6740531,-26.62441702,87.77230344
121.338885,-26.50748299,87.75296869
123.0268771,-26.38716439,87.75594803
124.7383514,-26.27129764,87.6642895
126.4736347,-26.14490092,87.63718445
128.2330583,-26.03576058,87.6406716
130.0169578,-25.90543769,87.63493015
131.8256739,-25.78527145,87.59317921
133.6595517,-25.66795965,87.54087572
135.5189412,-25.54604421,87.49195923
137.4041975,-25.43097944,87.48553545
139.3156803,-25.30799735,87.47304576
141.2537545,-25.1800658,87.48322941
143.2187899,-25.06169243,87.38634776
145.2111618,-24.94238295,87.37033185
147.2312502,-24.8277947,87.34722316
149.279441,-24.70673122,87.30857814
151.3561248,-24.58642713,87.27437734
153.4616983,-24.45943898,87.26020001
155.5965632,-24.34473002,87.21627861
157.761127,-24.22053729,87.17450567
159.9558029,-24.10166816,87.14630286
162.1810097,-23.98289917,87.10957362
164.4371723,-23.85963819,87.0904822
166.7247213,-23.73844519,87.06073354
169.0440932,-23.61698643,87.00620417
171.3957308,-23.50158862,86.97992807
173.7800829,-23.38109934,86.96656109
176.1976046,-23.26257701,86.91385381
178.6487575,-23.14501101,86.8503965
181.1340093,-23.02240131,86.85480497
183.6538343,-22.90474866,86.79618246
186.2087137,-22.78403998,86.73442806
188.7991349,-22.6675165,86.71107491
191.4255925,-22.5390929,86.68212455
194.0885878,-22.41762702,86.62402851
196.788629,-22.2982282,86.60300284
199.5262315,-22.18453296,86.53801495
202.3019179,-22.05845927,86.53288451
205.1162179,-21.93741165,86.47955254
207.9696687,-21.81641853,86.42596074
210.862815,-21.6969199,86.38209122
213.796209,-21.57115045,86.31219815
216.7704105,-21.45033916,86.28737436
219.7859873,-21.33300352,86.22693517
222.8435149,-21.20813479,86.19885373
225.943577,-21.08686328,86.13484695
229.0867653,-20.96815868,86.10536398
232.2736796,-20.84737443,86.05242661
235.5049284,-20.7293227,86.00220926
238.7811283,-20.60062041,85.93769048
242.1029047,-20.48496609,85.86971628
245.4708916,-20.36147755,85.85245146
248.8857318,-20.24009626,85.80183754
252.3480772,-20.12030134,85.72963781
255.8585887,-19.99708158,85.68620267
259.4179362,-19.87759581,85.62383681
263.0267992,-19.75340727,85.58931416
266.6858665,-19.62737788,85.5108195
270.3958364,-19.5077115,85.47442656
274.1574172,-19.38798112,85.39889612
277.9713268,-19.26280745,85.35405416
281.8382931,-19.1471524,85.2739515
285.7590543,-19.02229071,85.22350552
289.7343588,-18.90175339,85.15320036
293.7649652,-18.78173008,85.10052327
297.8516429,-18.66026681,85.0264488
301.995172,-18.54018384,84.96518914
306.1963434,-18.41528487,84.90478872
310.4559588,-18.2952263,84.85203765
314.7748314,-18.17509431,84.76903955
319.1537855,-18.05335775,84.70161567
323.5936569,-17.93191089,84.63862725
328.0952931,-17.80781409,84.57719488
332.6595533,-17.6863932,84.48725036
337.2873087,-17.56099047,84.4157201
341.9794425,-17.44371865,84.34847112
346.7368505,-17.31789924,84.2736956
351.5604405,-17.19302634,84.19209971
356.4511334,-17.07168261,84.11931935
361.4098626,-16.95177256,84.02457816
366.4375746,-16.82867259,83.95605858
371.5352291,-16.70354988,83.87350951
376.703799,-16.5795157,83.79679929
381.9442708,-16.45997459,83.71647249
387.2576449,-16.3306071,83.61971144
392.6449354,-16.20813319,83.53717026
398.1071706,-16.08255754,83.44271585
403.645393,-15.96167454,83.35210767
409.2606597,-15.84045852,83.27460569
414.9540426,-15.71456937,83.18160649
420.7266284,-15.58811544,83.07514456
426.5795188,-15.46501489,83.00541523
432.513831,-15.34147441,82.90478761
438.5306978,-15.21654102,82.80814193
444.6312675,-15.08966323,82.70983929
450.8167045,-14.9646186,82.59232737
457.0881896,-14.83957989,82.5014477
463.4469197,-14.71209071,82.3928467
469.8941086,-14.58919412,82.29986951
476.4309868,-14.45929568,82.17636687
483.058802,-14.33344049,82.05585547
489.7788194,-14.20947001,81.94004975
496.5923215,-14.08140494,81.84033629
503.5006088,-13.95702757,81.70796599
510.505,-13.82756595,81.60312548
517.606832,-13.70167841,81.47886551
524.8074602,-13.57497826,81.37861056
532.1082593,-13.44801505,81.2395028
539.5106225,-13.32146959,81.12732156
547.0159629,-13.19534813,80.98443395
