Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1025.651926,-43.11662869,-135.3524624
1032.761406,-42.88093887,-135.6284888
1039.920166,-42.47408432,-136.2800292
1047.128548,-42.21859598,-136.2773047
1054.386896,-41.84072506,-137.3329289
1061.695557,-41.45127045,-138.032595
1069.054879,-40.92750982,-137.9342103
1076.465214,-40.58409567,-138.2651228
1083.926914,-40.17839316,-138.9538769
1091.440336,-39.92689655,-140.1522009
1099.005839,-39.48180763,-140.0396036
1106.623784,-39.31560715,-140.7720309
1114.294534,-38.82757646,-140.7059797
1122.018454,-38.42520768,-141.6575836
1129.795915,-38.08884268,-141.6218713
1137.627286,-37.76699236,-142.1453868
1145.512941,-37.33308067,-143.0206798
1153.453258,-36.97858676,-142.9867229
1161.448614,-36.63975994,-143.7704807
1169.499391,-36.188554,-143.9051973
1177.605974,-35.81171804,-144.8627623
1185.768748,-35.42153663,-145.8480372
1193.988104,-35.076918,-145.912281
1202.264435,-34.70674734,-146.5045059
1210.598134,-34.39081957,-147.1091146
1218.989599,-33.98234216,-146.9953098
1227.439231,-33.57500028,-148.2268758
1235.947433,-33.13226021,-149.0782805
1244.514612,-32.74830451,-149.8088002
1253.141175,-32.37676828,-150.1403421
1261.827535,-31.97429778,-151.1534061
1270.574105,-31.61183845,-151.8492048
1279.381304,-31.14490027,-152.0483217
1288.249552,-30.78297308,-152.4587622
1297.179271,-30.37817748,-153.5156525
1306.170888,-29.93920351,-153.7036895
1315.224832,-29.53480081,-154.9130627
1324.341535,-29.1355014,-155.6361814
1333.521432,-28.73465346,-156.3468199
1342.764961,-28.30219728,-156.8777584
1352.072563,-27.90203981,-157.7543324
1361.444682,-27.49452453,-158.3958076
1370.881766,-27.04038563,-159.0914748
1380.384265,-26.64880947,-160.0723288
1389.952631,-26.19089437,-160.6622412
1399.587323,-25.78810706,-161.564758
1409.288798,-25.34097081,-162.590863
1419.057522,-24.91279559,-163.368791
1428.893959,-24.46093427,-164.4365946
1438.798578,-24.04579877,-165.4648371
1448.771854,-23.59097905,-166.4061795
1458.81426,-23.11062231,-167.2054887
1468.926278,-22.67723754,-168.1479536
1479.108388,-22.27254781,-169.2991314
1489.361078,-21.7673846,-170.1699913
1499.684836,-21.32423782,-171.3676607
1510.080154,-20.80560001,-172.3020551
1520.54753,-20.37144929,-173.2565379
1531.087462,-19.88566904,-174.7474792
1541.700453,-19.4156559,-175.8177513
1552.38701,-18.94618498,-177.1892798
1563.147643,-18.42785456,-178.467934
1573.982864,-17.97781894,-179.765922
1584.893192,-17.48836936,178.9324982
1595.879147,-16.97265518,177.5877084
1606.941253,-16.47047267,175.8856795
1618.080038,-15.98023778,174.6519544
1629.296033,-15.46628539,173.0658413
1640.589773,-14.95689897,171.3634925
1651.961798,-14.43341983,169.7145932
1663.41265,-13.90618777,167.8638958
1674.942876,-13.43566916,166.2670445
1686.553025,-12.89573797,164.2193384
1698.243652,-12.35499169,162.4820678
1710.015315,-11.80693835,160.3947592
1721.868575,-11.27792675,158.3534776
1733.803998,-10.77048126,156.0037555
1745.822153,-10.22394756,153.651585
1757.923614,-9.669735997,151.3270827
1770.108958,-9.128092879,148.7595432
1782.378767,-8.584308143,146.0621252
1794.733627,-8.071450292,143.4318964
1807.174126,-7.523785787,140.5695752
1819.700859,-7.013547623,137.3037879
1832.314422,-6.454966241,134.2036443
1845.015419,-5.968994726,130.9001632
1857.804455,-5.4595344,127.490467
1870.68214,-4.965692432,123.9107498
1883.649089,-4.486417638,120.0608785
1896.705921,-4.039505815,116.2434396
1909.853259,-3.609265912,112.3609081
1923.091729,-3.204610888,108.2411093
1936.421964,-2.80936281,104.0251582
1949.8446,-2.448734872,99.70261992
1963.360277,-2.135677036,95.46018978
1976.96964,-1.827382423,91.02657177
1990.673339,-1.546302281,86.6557153
2004.472027,-1.319866544,82.18487945
2018.366364,-1.093201553,77.86922329
2032.357011,-0.916327047,73.58085335
2046.444637,-0.748927415,69.25514609
2060.629913,-0.635019424,65.07076724
2074.913517,-0.508116361,61.03036121
2089.296131,-0.409669789,57.02420077
2103.77844,-0.353272,53.07018007
2118.361135,-0.304238504,49.36906618
2133.044913,-0.252425404,45.64784392
2147.830474,-0.205179481,42.23995701
2162.718524,-0.185552261,38.64161186
2177.709772,-0.173193871,35.30659219
2192.804935,-0.155901884,32.17346541
2208.004733,-0.153110942,28.91749315
2223.309891,-0.15687523,25.89702901
2238.721139,-0.15203278,22.85844826
2254.239212,-0.153016535,19.99079988
2269.864852,-0.140926124,17.13823451
2285.598803,-0.144519833,14.30567659
2301.441817,-0.141408322,11.71878604
2317.39465,-0.146306116,8.970991598
2333.458062,-0.144166258,6.356469761
2349.632821,-0.145912259,3.825181434
2365.919697,-0.147256345,1.343396875
2382.319469,-0.147113121,-1.140045102
2398.832919,-0.133814161,-3.623306625
2415.460834,-0.14683334,-6.0006304
2432.204009,-0.138808252,-8.381446017
2449.063242,-0.128406246,-10.69447506
2466.039337,-0.123376381,-12.9694634
2483.133105,-0.119778607,-15.24873794
2500.345362,-0.127522425,-17.4505941
2517.676928,-0.110607661,-19.74256061
2535.12863,-0.107381911,-21.96154508
2552.701303,-0.1171717,-24.18254678
2570.395783,-0.109288147,-26.36110272
2588.212915,-0.095214214,-28.47098739
2606.15355,-0.100164708,-30.57407664
2624.218543,-0.089685102,-32.73449957
2642.408757,-0.09606855,-34.78431857
2660.72506,-0.09345465,-36.86326499
2679.168325,-0.085101909,-38.97004345
2697.739432,-0.081839193,-40.9414804
2716.439269,-0.079253343,-43.01773716
2735.268726,-0.077540117,-44.99554396
2754.228703,-0.077727443,-46.99684038
2773.320105,-0.079461962,-48.98737599
2792.543841,-0.079134492,-50.89172052
2811.90083,-0.084248159,-52.86913815
