Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
10000.000000000002,-0.0066589212781085092,-49.139437167981455
10137.013067226206,-0.012167126795919069,-46.365073548980732
10275.903392511476,0.0014523812777462539,-43.89761335174336
10416.696696744284,-0.0072505288474371916,-41.369360062261613
10559.419053222882,-0.014857747085396434,-39.709669581787196
10704.096892483769,-0.010712357217935278,-37.574641120642738
10850.757007196331,-0.0037123638886167485,-35.49759665486495
10999.426557124549,0.00033924144814607309,-32.721101508719663
11150.13307415664,-0.0066995168522691086,-30.565184107871033
11302.904467403692,-0.0058689245543060032,-28.088347206248908
11457.76902836806,-0.0014413486855112522,-25.677313567568728
11614.75543618267,-0.0035677612610727424,-23.373914873442164
11773.892762922029,-0.0020107647194264229,-20.885210106423159
11935.210478986057,-0.0050487117701259014,-18.329271514103759
12098.738458557669,-0.0046115228412419327,-15.788825066531151
12264.506985135129,-0.00066127773150539396,-13.245464108181313
12432.546757140186,-0.0071413044494847292,-10.668860952348558
12602.888893603073,-0.018839382408364424,-8.2820628960869058
12775.564939925425,-0.0084299408364906462,-6.1741754163531652
12950.606873722098,-0.0002979612927804156,-4.3789962211982312
13128.047110743039,-0.014530881589363071,-3.0003923669291899
13307.918510876332,-0.0073812462469369051,-2.0184386888191246
13490.254384233484,-0.0144548690328742,-1.3150131188930021
13675.088497318031,0.0019758245328136961,-0.84988548241694506
13862.455079278754,-0.0021260431987530351,-0.52009875345484236
14052.388828248499,0.0014504341913570799,-0.31748055652601892
14244.924917769853,-0.013357133362479621,-0.18524624251201413
14440.099003308906,-0.014367473953693893,-0.12179881239399724
14637.947228858238,0.0014125401374806492,-0.11146628284238347
14838.506233630353,-0.0024175242114815804,-0.12105558007745459
15041.813158842835,-0.004043861683801912,-0.15962816575131297
15247.905654596481,-0.0063457262759992463,-0.19831785654362838
15456.82188684768,-0.01177922387793116,-0.250746369387156
15668.600544476281,-0.0079799615767932267,-0.31777969337064998
15883.280846450361,-0.0014181028716521197,-0.36620729294148013
16100.902549089098,-0.0032889968410800118,-0.42830851563218131
16321.505953425181,-0.011065332416833485,-0.49875428178489267
16545.131912668126,-0.0070262026684386738,-0.55416649480531854
16771.821839769796,-0.010942928269915515,-0.59329378183929271
17001.617715093624,0.0035503536621566854,-0.65032142822051475
17234.562094188852,0.0059796684955714385,-0.69103628458419597
17470.698115671374,0.0089724292830510796,-0.72861396375435483
17710.069509212492,-0.0031332974998802112,-0.76720663617143925
17952.720603637124,0.0063335909792422854,-0.7916129585784617
18198.696335133063,-0.0018137150369073099,-0.7984614056730216
18448.042255572534,-0.0058644621544676851,-0.81493873968611141
18700.804540947993,0.01004059923906319,-0.8239135234528594
18957.029999923285,0.0059612279964885032,-0.83744004759649471
19216.766082502141,-0.0071382903203927942,-0.85204705010449355
19480.060888815347,-0.0085025729315789875,-0.85577405333205914
19746.96317802832,-0.0011280584014837598,-0.84398334966397348
20017.522377370766,-0.0028869870326037046,-0.86277705835031893
20291.788591290035,-0.0014003792610698773,-0.85631206352038136
20569.812610729852,0.0046758887512957734,-0.84760130999443706
20851.645922536292,0.0051607995205151394,-0.84893815562139696
21137.340718992426,0.00062078117092865691,-0.84098264102775366
21426.949907483864,0.010028907796235123,-0.83822451549701293
21720.527120296512,-0.004541860456320105,-0.82582544618028697
22018.126724548678,0.0012031860457211809,-0.8246160065044521
22319.803832259247,-0.010180956311860789,-0.80680135184564072
22625.614310553734,0.0098242504578432092,-0.80423292535084012
22935.614792010332,0.019541043258632474,-0.79789847547988446
23249.862685147527,0.0044274119846311414,-0.78205287250610178
23568.416185055528,-0.0031234272110517766,-0.77158690344571734
23891.334284173339,-0.0015726973418135257,-0.77084143546862061
24218.676783213439,0.0026591291789510394,-0.75381483936082572
24550.504302236248,0.0055235548925025874,-0.74052795235002478
24886.878291876186,0.0014218353403999411,-0.73412792150407757
25227.861044721692,-0.0037685623990543716,-0.72404803120761374
25573.515706851067,0.0071540736048883186,-0.70776671337094221
25923.906289526371,0.013043646295052676,-0.70427289501958024
26279.097681047631,0.0065348101990322302,-0.69373652494549731
26639.155658769356,0.0038904051412427592,-0.6737215332387978
27004.146901281765,-0.0036552487844166304,-0.66493243532923252
27374.139000758929,0.0089507780326727737,-0.65738871708726299
27749.200475475955,0.018062441565965776,-0.64784767726634973
28129.400782497924,0.024589189697322607,-0.64425050920810756
28514.810330542434,0.0077916897514096837,-0.61716939370247492
28905.500493018517,0.00097909573984212477,-0.60797121294183865
29301.543621244226,0.00036578791767948797,-0.58202533671190959
29703.013057845114,0.0038666036317124446,-0.59177549601898005
30109.983150336637,0.0086453779814308386,-0.5617766922319205
30522.529264892324,-0.015196797793016158,-0.54502452374496102
30940.727800300752,0.01692628408388137,-0.5503260983877033
31364.656202113776,-0.00016007780561944353,-0.52569198148146379
31794.392976988456,0.016457798343870574,-0.51383265703926551
32230.017707225696,-0.00032085660169961158,-0.50620538939653359
32671.61106550787,0.0086208970165220292,-0.49779190092991676
33119.254829838537,0.01495464609449009,-0.48402942452063991
33573.031898686771,0.00061498036995180953,-0.47764898443648346
34033.026306338979,0.0097285527825190649,-0.4562175819318765
34499.323238461126,0.0046009167349524783,-0.43789058807511128
34972.009047874089,0.0073247358879016495,-0.42310421951099991
35451.171270545259,0.014242437023249788,-0.42074167794931883
35936.89864179914,0.0081443358233231865,-0.40287471205976788
36429.281112750126,0.002790526637190897,-0.40609477605707534
36928.409866960465,0.024636105085792222,-0.38905449318082375
37434.377337326318,0.0081856645790899813,-0.38401485324841356
37947.277223195328,0.02224513380058114,-0.38114619081944945
38467.204507718619,0.01024604035548848,-0.35848060570846607
38994.255475440608,0.014723622838999169,-0.35327586365872077
39528.527730129827,0.030952405726839126,-0.35425530639814934
40070.120212853937,-0.0078201805358187552,-0.31891641996935122
40619.133220302494,-0.0079966292972377135,-0.3193936695464582
41175.668423360832,0.0066711830152097274,-0.32045347638612826
41739.828885938179,0.033159729230831325,-0.29840749203657163
42311.719084054101,0.028807598053599105,-0.29153928193504086
42891.444925186064,0.0064643847375675904,-0.26290576324087944
43479.113767882402,0.0012656923539871258,-0.27794511434043706
44074.834441643849,0.044861176459234403,-0.2689966021989264
44678.717267077503,0.0076080791013046108,-0.26213948645711149
45290.874076326952,-0.0092200372123498412,-0.25484781489820363
45911.418233782271,0.026162400928567899,-0.24747096940532409
46540.464657073804,0.017142636674579478,-0.23278793194951858
47178.129838353641,0.0015827893415201052,-0.22256438651338262
47824.531865868499,0.0030459417122239247,-0.22191348814695591
48479.790445828476,0.022918651496537927,-0.21539180780167022
49144.026924575119,0.038640990182224298,-0.2137973546074384
49817.364311053425,0.012555556813477217,-0.19028199189446476
50499.927299591676,0.0070034588637734848,-0.19793107471323979
51191.842292993373,0.042915514218943789,-0.19474732089599506
51893.23742594567,0.015682884331561765,-0.20314697103572948
52604.242588748304,0.011949654298282205,-0.18352000222729234
53324.989451367852,0.011206281650317748,-0.19482159154412776
54055.611487821523,0.015870334613220193,-0.16334073563013363
54796.244000894956,0.028017264925486091,-0.15524688559158231
55547.024147198725,0.028310159379141272,-0.15929383629232358
56308.090962568283,0.015076006069393718,-0.13635985526718564
57079.585387811618,0.043299478058292137,-0.15991236008723198
57861.650294810002,0.03398241587047808,-0.14268965380430471
58654.430512976171,0.035844024156248877,-0.15629208926861471
59458.072856075058,0.010667806067734559,-0.15525981743755243
60272.726149412018,0.038284358133907168,-0.14683295222894457
61098.541257393605,0.0389533674518555,-0.12295142877350743
61935.67111146581,0.036606433917195515,-0.13624998587981449
62784.27073843532,0.034207898507497635,-0.11289245824607383
63644.497289178624,0.019212771890846768,-0.10697360472177006
64516.510067744617,0.046314257499018324,-0.12696168570096611
65400.470560855792,0.027654747115122329,-0.11346258949841329
66296.542467813764,0.021479513764886032,-0.10281902182384575
67204.891730814488,0.024480242877221638,-0.10396796552219434
68125.686565678829,0.018026249676237515,-0.088185662720127261
69059.097493004272,0.034431445364945357,-0.10913061112533681
70005.297369743246,0.049281673002427959,-0.089033338247652194
70964.461421214321,0.034736539607955551,-0.09163471793389534
71936.767273551915,0.045604008887569505,-0.091985259360186339
72922.394986600557,0.052180125872614551,-0.1139741910968895
73921.527087260038,0.057128793771634892,-0.08143155739344124
74934.348603287042,0.043568792155480082,-0.064894868307802195
75961.047097560426,0.049925562677863959,-0.059914079835290894
77001.8127028155,0.041918025441706211,-0.094046736038119721
78056.838156854472,0.033858131063441245,-0.081254078300079816
79126.318838239444,0.028522491907232848,-0.071358950244735028
80210.452802474014,0.047879646312736293,-0.077850248379226064
81309.440818680945,0.046736398930994405,-0.081924724544240171
82423.486406782409,0.019535501137289447,-0.074915457704701177
83552.795875189404,0.044560939644090095,-0.086419949208591973
84697.57835900785,0.052035085744374487,-0.065134007273794675
85858.045858767757,0.040501117695733793,-0.030852125181627246
87034.413279683533,0.052881391359538898,-0.069057873175745035
88226.898471451743,0.08062917130358202,-0.07405540303827865
89435.722268594531,0.056030750797170598,-0.044465679791168312
90661.10853135561,0.035139605333648113,-0.030912408950394089
91903.28418715646,0.021258782812975323,-0.053193356051124463
93162.479272620796,0.060615984021129513,-0.062754562485673987
94438.926976174713,0.052491590929363348,-0.050530892813704202
95732.863681230374,0.044405414675495553,-0.055892872066085147
97044.529009961683,0.062396174319157865,-0.066016064501243518
98374.165867679374,0.052017681147214397,-0.077543969662650633
99722.020487814356,0.030536831771884199,-0.04561568608395513
101088.34247751729,0.049942765482403902,-0.050563194610966818
102473.38486388299,0.065414812707870071,-0.055035209225442965
103877.40414080815,0.044935698986510765,-0.056369519818279895
105300.66031649092,0.040285569395819038,-0.057244157809853397
106743.41696158158,0.044005903986444599,-0.075938404830372078
108205.94125799274,0.040200397346452192,-0.054294927266355805
109688.50404837829,0.061179388768786355,-0.059810940009126234
111191.37988629047,0.059517728434837783,-0.046290631314401823
112714.8470870239,0.01986219645799514,-0.030302676596747402
114259.18777915642,0.054377195578045746,-0.06288060944670637
115824.68795679609,0.054021913999070123,-0.05375142783867376
117411.6375325439,0.064451674280789337,-0.054365840203656826
119020.33039118235,0.052354923951230946,-0.056987503250561122
120651.06444409951,0.028330439315064206,-0.062741112554233452
122304.14168445871,0.03447663433568228,-0.054035473625456021
123979.86824312426,0.062213143072652681,-0.062259523467285971
125678.55444535334,0.044800104043431155,-0.062573144636026923
127400.51486826458,0.054134594375288204,-0.066592539963116745
129146.06839909439,0.069238680289071389,-0.077339857290984082
130915.53829425086,0.069242766825420105,-0.091570387974892031
132709.25223917729,0.06225529155099719,-0.07494298677493659
134527.54240903581,0.046976119530124094,-0.069742977302997389
136370.74553022225,0.034861583267512326,-0.084730125608011436
138239.20294272419,0.060012256080605744,-0.092883697385600594
140133.260663333,0.07448258235339944,-0.12222718284662192
142053.26944972217,0.059471168655500853,-0.10846134838380665
143999.5848654038,0.028320348376132766,-0.12037223196505525
145972.56734557461,0.078677119646052063,-0.1214851436880701
147972.58226386466,0.076114257401569144,-0.089250682845153306
150000,0.078144103960182398,-0.15665518883560547
