Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
10000.000000000002,-0.0049930779836509032,-10.87166198914182
10137.013067226206,-0.014227667525928332,-9.5655953424280291
10275.903392511476,-0.00038846467298367116,-8.2361906614685623
10416.696696744284,0.0020164210716253853,-6.8673794341630661
10559.419053222882,-0.0093555481158900788,-5.468393623132112
10704.096892483769,0.00026171773781311129,-4.0186687848743912
10850.757007196331,-0.0034852160500867192,-2.5529866960336189
10999.426557124549,-2.9961394913656972e-05,-1.0492976653335182
11150.13307415664,-0.016134412249003083,0.52478429328353093
11302.904467403692,-0.0072272940955715546,2.1049696092285224
11457.76902836806,-0.0049065643032357442,3.757974878233675
11614.75543618267,0.00021148810916242901,5.4744451361357624
11773.892762922029,-0.0050235911553265736,7.2203249679569259
11935.210478986057,-0.00062875568938949964,9.0227643610456383
12098.738458557669,0.0072032530095420171,10.87274712103666
12264.506985135129,0.00057103475300333882,12.752634067140274
12432.546757140186,0.00048854322293399454,14.585768671733776
12602.888893603073,-0.013707255053188689,16.311356316024423
12775.564939925425,0.00053018344371280894,17.774833833776633
12950.606873722098,-0.0098891592162381192,18.889070945734932
13128.047110743039,-0.011431778864447741,19.585660389181484
13307.918510876332,-0.0078759804781783765,19.91198102940643
13490.254384233484,-0.0088238153383960287,19.931248229627169
13675.088497318031,-0.0088878908299748448,19.743049118787265
13862.455079278754,-0.0041471004986037919,19.37430185582102
14052.388828248499,-0.00037822019707968289,18.906379120781704
14244.924917769853,-0.0051775272279491989,18.352410595316712
14440.099003308906,-0.014405214140341923,17.745108123614401
14637.947228858238,-0.0033947630721573117,17.095806950218552
14838.506233630353,-0.011235858905614163,16.421387274188554
15041.813158842835,-0.0069256681715847701,15.736070633027524
15247.905654596481,-0.011032766788922895,15.043453477187644
15456.82188684768,-0.0048057261607867587,14.324076025904468
15668.600544476281,-0.0027471289198282766,13.630077208795687
15883.280846450361,0.0069007034550391966,12.930432872660393
16100.902549089098,0.0052563181145070092,12.25708504533058
16321.505953425181,0.0055638792351524989,11.582678173102829
16545.131912668126,0.0069064246663740371,10.929131979242833
16771.821839769796,-0.019315863817470649,10.272665469705291
17001.617715093624,-0.0024837248152047076,9.6513902220124876
17234.562094188852,-0.0090667294801542505,9.0477385516263258
17470.698115671374,0.006229621381293641,8.4319873932822134
17710.069509212492,-0.00042085970524827318,7.8580547849177602
17952.720603637124,-0.0043522389352798193,7.2926336619200773
18198.696335133063,-0.001051660211658507,6.7433932391734173
18448.042255572534,0.00049793850612336855,6.2108931317105132
18700.804540947993,0.005247904100119995,5.6863929513722642
18957.029999923285,-0.0052828905630296916,5.1923827302643
19216.766082502141,0.0027835344052921213,4.7036813813122542
19480.060888815347,-0.007122638655428757,4.2382753784196616
19746.96317802832,0.0064777975701697244,3.790856855344829
20017.522377370766,-0.0019520936582987343,3.3428763236765011
20291.788591290035,0.0013208943367856499,2.9166892399247808
20569.812610729852,0.0081037547548307182,2.5086779280437472
20851.645922536292,0.0074567449495441026,2.1074068634965477
21137.340718992426,-0.0029816744037624862,1.7271124418419235
21426.949907483864,-0.008536344529279441,1.3464836535393578
21720.527120296512,0.0036432984777849875,0.98178443770013046
22018.126724548678,0.0040893733199733147,0.64388614640269015
22319.803832259247,-0.0079550298826150979,0.31093073552626016
22625.614310553734,0.0087988417169367582,-0.028050767415377115
22935.614792010332,0.016907226556837948,-0.348348030004072
23249.862685147527,0.0072682166257431293,-0.65113277305063688
23568.416185055528,-0.0025344605296300487,-0.93287251705356833
23891.334284173339,0.0035126850458684889,-1.2201944401411648
24218.676783213439,0.0086505049565111305,-1.5033733849948057
24550.504302236248,0.015101218607865025,-1.7859093260246104
24886.878291876186,0.0051260146031690971,-2.0313243000670926
