Time (s),Channel 1 (V),Channel 2 (V)
-0.014459999999999999,-0.0029348479402594553,-0.012580450603859662
-0.014456249999999999,-0.0032667771177660346,-0.012912112745273596
-0.014452499999999998,-0.0029348479402594553,-0.012580450603859662
-0.01444875,-0.0029348479402594553,-0.012912112745273596
-0.014445,-0.0026029187627528757,-0.013243774886687529
-0.014441249999999999,-0.0026029187627528757,-0.013575437028101463
-0.014437499999999999,-0.0026029187627528757,-0.015233747735171129
-0.014433749999999999,-0.0026029187627528757,-0.013907099169515396
-0.014429999999999998,-0.0026029187627528757,-0.014238761310929328
-0.01442625,-0.0029348479402594553,-0.012912112745273596
-0.0144225,-0.0029348479402594553,-0.014238761310929328
-0.014418749999999999,-0.002270989585246296,-0.013243774886687529
-0.014414999999999999,-0.002270989585246296,-0.013575437028101463
-0.014411249999999999,-0.0026029187627528757,-0.013575437028101463
-0.014407499999999998,-0.0026029187627528757,-0.012580450603859662
-0.01440375,-0.0032667771177660346,-0.013243774886687529
-0.0144,-0.0026029187627528757,-0.013243774886687529
-0.014396249999999999,-0.0026029187627528757,-0.013243774886687529
-0.014392499999999999,-0.0026029187627528757,-0.013575437028101463
-0.014388749999999999,-0.0026029187627528757,-0.016560396300826861
-0.014384999999999998,-0.0029348479402594553,-0.01025881561396213
-0.01438125,-0.0029348479402594553,-0.014902085593757195
-0.0143775,-0.0032667771177660346,-0.012912112745273596
-0.014373749999999999,-0.0026029187627528757,-0.013243774886687529
-0.014369999999999999,-0.0032667771177660346,-0.012912112745273596
-0.014366249999999999,-0.0029348479402594553,-0.012580450603859662
-0.014362499999999999,-0.0029348479402594553,-0.013907099169515396
-0.01435875,-0.0029348479402594553,-0.013243774886687831
-0.014355,-0.0032667771177660346,-0.013575437028101463
-0.014351249999999999,-0.0026029187627528757,-0.013575437028101463
-0.014347499999999999,-0.0026029187627528757,-0.014570423452343263
-0.014343749999999999,-0.0026029187627528757,-0.016560396300826861
-0.014339999999999999,-0.0029348479402594553,-0.012248788462445729
-0.014336249999999998,-0.0029348479402594553,-0.014570423452343263
-0.0143325,-0.0026029187627528757,-0.013243774886687529
-0.014328749999999999,-0.0026029187627528757,-0.012580450603859662
-0.014324999999999999,-0.0029348479402594553,-0.013907099169515396
-0.014321249999999999,-0.0026029187627528757,-0.011917126321031797
-0.014317499999999999,-0.0026029187627528757,-0.013243774886687529
-0.014313749999999998,-0.0026029187627528757,-0.012580450603859662
-0.01431,-0.0029348479402594553,-0.013575437028101463
-0.01430625,-0.002270989585246296,-0.012912112745273596
-0.014302499999999999,-0.0026029187627528757,-0.012912112745273596
-0.014298749999999999,-0.0026029187627528757,-0.013243774886687529
-0.014294999999999999,-0.0026029187627528757,-0.016228734159412929
-0.014291249999999998,-0.002270989585246296,-0.0099271534725481961
-0.0142875,-0.0026029187627528757,-0.015565409876585062
-0.01428375,-0.002270989585246296,-0.012248788462445729
-0.014279999999999999,-0.002270989585246296,-0.013575437028101463
-0.014276249999999999,-0.0026029187627528757,-0.012580450603859662
-0.014272499999999999,-0.0019390604077397168,-0.012912112745273596
-0.014268749999999998,-0.002270989585246296,-0.012912112745273596
-0.014265,-0.0026029187627528757,-0.013243774886687529
-0.01426125,-0.0029348479402594553,-0.013575437028101463
-0.014257499999999999,-0.0026029187627528757,-0.013907099169515396
-0.014253749999999999,-0.0026029187627528757,-0.013575437028101463
-0.014249999999999999,-0.0019390604077397168,-0.015233747735171129
-0.014246249999999998,-0.0029348479402594553,-0.012580450603859662
-0.0142425,-0.0026029187627528757,-0.016228734159412929
-0.01423875,-0.0026029187627528757,-0.012580450603859662
-0.014234999999999999,-0.0026029187627528757,-0.014902085593757195
-0.014231249999999999,-0.0029348479402594553,-0.012912112745273596
-0.014227499999999999,-0.0026029187627528757,-0.013907099169515396
-0.014223749999999999,-0.0026029187627528757,-0.013575437028101463
-0.01422,-0.0029348479402593044,-0.01324377488668768
-0.01421625,-0.0029348479402594553,-0.013575437028101463
-0.014212499999999999,-0.0026029187627528757,-0.013575437028101463
-0.014208749999999999,-0.002270989585246296,-0.013575437028101463
-0.014204999999999999,-0.0029348479402594553,-0.013243774886687529
-0.014201249999999999,-0.002270989585246296,-0.012912112745273596
-0.014197499999999998,-0.002270989585246296,-0.013907099169515396
-0.01419375,-0.0032667771177660346,-0.013243774886687529
-0.014189999999999999,-0.0032667771177660346,-0.013243774886687529
-0.014186249999999999,-0.002270989585246296,-0.012912112745273596
-0.014182499999999999,-0.0026029187627528757,-0.013575437028101463
-0.014178749999999999,-0.0029348479402594553,-0.013243774886687529
-0.014174999999999998,-0.0029348479402594553,-0.013575437028101463
-0.01417125,-0.0029348479402594553,-0.013907099169515396
-0.0141675,-0.002270989585246296,-0.014238761310929328
-0.014163749999999999,-0.0026029187627528757,-0.013575437028101463
-0.014159999999999999,-0.002270989585246296,-0.013907099169515396
-0.014156249999999999,-0.0026029187627528757,-0.013243774886687529
-0.014152499999999998,-0.0029348479402594553,-0.013575437028101463
-0.01414875,-0.0026029187627528757,-0.014238761310929328
-0.014145,-0.0026029187627528757,-0.013575437028101463
-0.014141249999999999,-0.0029348479402594553,-0.014238761310929328
-0.014137499999999999,-0.0029348479402594553,-0.013907099169515396
-0.014133749999999999,-0.0026029187627528757,-0.013243774886687529
-0.014129999999999998,-0.0029348479402594553,-0.013907099169515396
-0.01412625,-0.0019390604077397168,-0.013575437028101463
-0.0141225,-0.002270989585246296,-0.013575437028101463
-0.014118749999999999,-0.0029348479402594553,-0.012912112745273596
-0.014114999999999999,-0.0029348479402594553,-0.012912112745273596
-0.014111249999999999,-0.002270989585246296,-0.012580450603859662
-0.014107499999999999,-0.0032667771177660346,-0.012248788462445729
-0.01410375,-0.0026029187627528757,-0.014570423452343263
-0.0141,-0.0029348479402594553,-0.012580450603859662
-0.014096249999999999,-0.0026029187627528757,-0.014238761310929328
-0.014092499999999999,-0.0035987062952726138,-0.013243774886687529
-0.014088749999999999,-0.0029348479402594553,-0.014238761310929328
-0.014084999999999999,-0.0029348479402594553,-0.012912112745273596
-0.01408125,-0.0022709895852465979,-0.013907099169514943
-0.0140775,-0.0029348479402594553,-0.013243774886687529
-0.014073749999999999,-0.002270989585246296,-0.013907099169515396
-0.014069999999999999,-0.0032667771177660346,-0.013243774886687529
-0.014066249999999999,-0.0032667771177660346,-0.012912112745273596
-0.014062499999999999,-0.0029348479402594553,-0.015897072017998996
-0.014058749999999998,-0.0029348479402594553,-0.012580450603859662
-0.014055,-0.0026029187627528757,-0.014902085593757195
-0.01405125,-0.0026029187627528757,-0.012580450603859662
-0.014047499999999999,-0.002270989585246296,-0.014570423452343263
-0.014043749999999999,-0.0026029187627528757,-0.013243774886687529
-0.014039999999999999,-0.0032667771177660346,-0.012912112745273596
-0.014036249999999998,-0.0029348479402594553,-0.012912112745273596
-0.0140325,-0.0026029187627528757,-0.013243774886687529
-0.01402875,-0.002270989585246296,-0.013243774886687529
-0.014024999999999999,-0.0026029187627528757,-0.012912112745273596
-0.014021249999999999,-0.002270989585246296,-0.013243774886687529
-0.014017499999999999,-0.0026029187627528757,-0.012912112745273596
-0.014013749999999998,-0.002270989585246296,-0.016228734159412929
-0.01401,-0.0029348479402594553,-0.010922139896789996
-0.01400625,-0.0026029187627528757,-0.014902085593757195
-0.014002499999999999,-0.0026029187627528757,-0.013243774886687529
-0.013998749999999999,-0.0019390604077397168,-0.013575437028101463
-0.013994999999999999,-0.0026029187627528757,-0.013907099169515396
-0.013991249999999998,-0.002270989585246296,-0.013243774886687529
-0.0139875,-0.0026029187627528757,-0.013907099169515396
-0.01398375,-0.0032667771177660346,-0.013243774886687529
-0.013979999999999999,-0.0029348479402594553,-0.013907099169515396
-0.013976249999999999,-0.002270989585246296,-0.013243774886687529
-0.013972499999999999,-0.0026029187627528757,-0.013575437028101463
-0.013968749999999999,-0.0029348479402594553,-0.016560396300826861
-0.013965,-0.0026029187627528757,-0.012248788462445729
-0.01396125,-0.0026029187627528757,-0.014902085593757195
-0.013957499999999999,-0.0019390604077397168,-0.012580450603859662
-0.013953749999999999,-0.0019390604077397168,-0.014238761310929328
-0.013949999999999999,-0.0019390604077397168,-0.013243774886687529
-0.013946249999999999,-0.002270989585246296,-0.013907099169515396
-0.013942499999999998,-0.0029348479402596063,-0.013243774886687227
-0.01393875,-0.0032667771177660346,-0.012580450603859662
-0.013934999999999999,-0.0029348479402594553,-0.012248788462445729
-0.013931249999999999,-0.0029348479402594553,-0.013243774886687529
-0.013927499999999999,-0.0029348479402594553,-0.012912112745273596
-0.013923749999999999,-0.002270989585246296,-0.012912112745273596
-0.013919999999999998,-0.0029348479402594553,-0.018218707007896528
-0.01391625,-0.0032667771177660346,-0.0095954913311342635
-0.0139125,-0.0026029187627528757,-0.015565409876585062
-0.013908749999999999,-0.002270989585246296,-0.013243774886687529
-0.013904999999999999,-0.002270989585246296,-0.013907099169515396
-0.013901249999999999,-0.002270989585246296,-0.014238761310929328
-0.013897499999999998,-0.002270989585246296,-0.013575437028101463
-0.01389375,-0.0026029187627528757,-0.013907099169515396
-0.01389,-0.0026029187627528757,-0.013575437028101463
-0.013886249999999999,-0.002270989585246296,-0.013907099169515396
-0.013882499999999999,-0.0029348479402594553,-0.013575437028101463
-0.013878749999999999,-0.0026029187627528757,-0.012248788462445729
-0.013874999999999998,-0.0026029187627528757,-0.015233747735171129
-0.01387125,-0.002270989585246296,-0.012912112745273596
-0.0138675,-0.002270989585246296,-0.013907099169515396
-0.013863749999999999,-0.0019390604077397168,-0.012912112745273596
-0.013859999999999999,-0.0026029187627528757,-0.014570423452343263
-0.013856249999999999,-0.002270989585246296,-0.011917126321031797
-0.013852499999999998,-0.0026029187627528757,-0.013575437028101463
-0.01384875,-0.002270989585246296,-0.013907099169515396
-0.013845,-0.002270989585246296,-0.013575437028101463
-0.013841249999999999,-0.0019390604077397168,-0.014238761310929328
-0.013837499999999999,-0.0019390604077397168,-0.013575437028101463
-0.013833749999999999,-0.0026029187627528757,-0.012912112745273596
-0.013829999999999999,-0.002270989585246296,-0.015233747735171129
-0.01382625,-0.0019390604077397168,-0.015897072017998996
-0.0138225,-0.0026029187627528757,-0.012248788462445729
-0.013818749999999999,-0.0019390604077397168,-0.015565409876585062
-0.013814999999999999,-0.0019390604077397168,-0.013575437028101463
-0.013811249999999999,-0.0029348479402594553,-0.014570423452343263
-0.013807499999999999,-0.0019390604077397168,-0.013575437028101463
-0.013803749999999998,-0.0022709895852461451,-0.013575437028101614
-0.0138,-0.0019390604077397168,-0.013907099169515396
-0.013796249999999999,-0.002270989585246296,-0.013575437028101463
-0.013792499999999999,-0.002270989585246296,-0.014238761310929328
-0.013788749999999999,-0.002270989585246296,-0.012580450603859662
-0.013784999999999999,-0.0019390604077397168,-0.014570423452343263
-0.013781249999999998,-0.002270989585246296,-0.013243774886687529
-0.0137775,-0.002270989585246296,-0.016228734159412929
-0.01377375,-0.0019390604077397168,-0.011585464179617862
-0.013769999999999999,-0.002270989585246296,-0.014570423452343263
-0.013766249999999999,-0.002270989585246296,-0.013907099169515396
-0.013762499999999999,-0.002270989585246296,-0.013575437028101463
-0.013758749999999998,-0.0019390604077397168,-0.013907099169515396
-0.013755,-0.0019390604077397168,-0.013907099169515396
-0.01375125,-0.002270989585246296,-0.014238761310929328
-0.013747499999999999,-0.0026029187627528757,-0.013575437028101463
-0.013743749999999999,-0.002270989585246296,-0.013243774886687529
-0.013739999999999999,-0.002270989585246296,-0.014238761310929328
-0.013736249999999998,-0.0019390604077397168,-0.014238761310929328
-0.0137325,-0.002270989585246296,-0.015565409876585062
-0.01372875,-0.0026029187627528757,-0.012580450603859662
-0.013724999999999999,-0.0029348479402594553,-0.014238761310929328
-0.013721249999999999,-0.0026029187627528757,-0.013575437028101463
-0.013717499999999999,-0.0026029187627528757,-0.013907099169515396
-0.013713749999999999,-0.0029348479402594553,-0.013575437028101463
-0.01371,-0.0029348479402594553,-0.013575437028101463
-0.01370625,-0.0029348479402594553,-0.013243774886687529
-0.013702499999999999,-0.0029348479402594553,-0.014238761310929328
-0.013698749999999999,-0.0026029187627528757,-0.013243774886687529
-0.013694999999999999,-0.0029348479402594553,-0.013575437028101463
-0.013691249999999999,-0.0029348479402594553,-0.014238761310929328
-0.0136875,-0.002270989585246296,-0.012248788462445729
-0.01368375,-0.0026029187627528757,-0.014570423452343263
-0.013679999999999999,-0.0029348479402594553,-0.012580450603859662
-0.013676249999999999,-0.0029348479402594553,-0.013575437028101463
-0.013672499999999999,-0.0032667771177660346,-0.013575437028101463
-0.013668749999999999,-0.0029348479402594553,-0.013243774886687529
-0.013664999999999998,-0.0029348479402596063,-0.013243774886687378
-0.01366125,-0.0032667771177660346,-0.012912112745273596
-0.0136575,-0.0029348479402594553,-0.013243774886687529
-0.013653749999999999,-0.0032667771177660346,-0.013243774886687529
-0.013649999999999999,-0.0032667771177660346,-0.012248788462445729
-0.013646249999999999,-0.0029348479402594553,-0.014570423452343263
-0.013642499999999998,-0.0029348479402594553,-0.012248788462445729
-0.01363875,-0.0029348479402594553,-0.014238761310929328
-0.013635,-0.002270989585246296,-0.012580450603859662
-0.013631249999999999,-0.0019390604077397168,-0.013907099169515396
-0.013627499999999999,-0.002270989585246296,-0.013243774886687529
-0.013623749999999999,-0.0026029187627528757,-0.013907099169515396
-0.013619999999999998,-0.0029348479402594553,-0.012912112745273596
-0.01361625,-0.0019390604077397168,-0.013243774886687529
-0.0136125,-0.0019390604077397168,-0.012912112745273596
-0.013608749999999999,-0.002270989585246296,-0.013243774886687529
-0.013604999999999999,-0.0019390604077397168,-0.012580450603859662
-0.013601249999999999,-0.0026029187627528757,-0.012580450603859662
