Freq.	V(vin_6)
Step Information: Run=1  (Run: 1/20)
5.24807460249770e+003	(6.03924128116600e-001dB,-1.22877195012313e+001°)
5.37031796370250e+003	(5.99046890139615e-001dB,-1.69220728552909e+001°)
5.49540873857622e+003	(5.92711007525073e-001dB,-2.15577923615370e+001°)
5.62341325190346e+003	(5.85440400937915e-001dB,-2.61963923189311e+001°)
5.75439937337154e+003	(5.77845180768983e-001dB,-3.08402753719953e+001°)
5.88843655355586e+003	(5.70594989319856e-001dB,-3.54928658136122e+001°)
6.02559586074354e+003	(5.64389164475192e-001dB,-4.01587114252586e+001°)
6.16595001861479e+003	(5.59924445845176e-001dB,-4.48435519549789e+001°)
6.30957344480190e+003	(5.57860835572865e-001dB,-4.95543527814400e+001°)
6.45654229034652e+003	(5.58786116158513e-001dB,-5.42993021003635e+001°)
6.60693448007592e+003	(5.63179465898187e-001dB,-5.90877690652490e+001°)
6.76082975391978e+003	(5.71374654155675e-001dB,-6.39302187932536e+001°)
6.91830970918932e+003	(5.83523503002812e-001dB,-6.88380782162646e+001°)
7.07945784384134e+003	(5.99560729402029e-001dB,-7.38235447935613e+001°)
7.24435960074986e+003	(6.19171988225738e-001dB,-7.88993287111438e+001°)
7.41310241300913e+003	(6.41767957264501e-001dB,-8.40783192766073e+001°)
7.58577575029179e+003	(6.66468632424194e-001dB,-8.93731690328184e+001°)
7.76247116628687e+003	(6.92103541335151e-001dB,-9.47957962489273e+001°)
7.94328234724277e+003	(7.17235105607854e-001dB,-1.00356819647571e+002°)
8.12830516164094e+003	(7.40213465015287e-001dB,-1.06064959930683e+002°)
8.31763771102666e+003	(7.59271090233090e-001dB,-1.11926471186249e+002°)
8.51138038202371e+003	(7.72663677967228e-001dB,-1.17944699677027e+002°)
8.70963589956075e+003	(7.78859424637496e-001dB,-1.24119902674977e+002°)
8.91250938133740e+003	(7.76771509162302e-001dB,-1.30449487432587e+002°)
9.12010839355904e+003	(7.66019009259814e-001dB,-1.36928840150737e+002°)
9.33254300796985e+003	(7.47191099181331e-001dB,-1.43552900023102e+002°)
9.54992586021430e+003	(7.22080479939743e-001dB,-1.50318596455843e+002°)
9.77237220955804e+003	(6.93846291447347e-001dB,-1.57228224879758e+002°)
9.99999999999993e+003	(6.67063445251579e-001dB,-1.64293818180032e+002°)
1.02329299228075e+004	(6.47608769632783e-001dB,-1.71542610606859e+002°)
1.04712854805089e+004	(6.42311849538254e-001dB,-1.79023807329420e+002°)
1.07151930523760e+004	(6.58237417723464e-001dB,1.73182966348912e+002°)
1.09647819614318e+004	(7.01330021374978e-001dB,1.64957113685325e+002°)
1.12201845430196e+004	(7.73887161200233e-001dB,1.56124534525434e+002°)
1.14815362149688e+004	(8.69889639323859e-001dB,1.46445675803209e+002°)
1.17489755493952e+004	(9.66740808444728e-001dB,1.35614174078244e+002°)
1.20226443461740e+004	(1.01241555813113e+000dB,1.23293736784537e+002°)
1.23026877081237e+004	(9.11658944841896e-001dB,1.09247218526061e+002°)
1.25892541179416e+004	(5.28403802746035e-001dB,9.35993364622180e+001°)
1.28824955169313e+004	(-2.66883618475788e-001dB,7.71001746504957e+001°)
1.31825673855640e+004	(-1.51423957053136e+000dB,6.09991488226852e+001°)
1.34896288259164e+004	(-3.13108512538793e+000dB,4.64275804766284e+001°)
1.38038426460288e+004	(-4.97303627645491e+000dB,3.39072881513928e+001°)
1.41253754462274e+004	(-6.91122349073053e+000dB,2.34006235866293e+001°)
1.44543977074592e+004	(-8.86193221381165e+000dB,1.46074760249053e+001°)
1.47910838816820e+004	(-1.07804856738542e+001dB,7.18357788102477e+000°)
1.51356124843620e+004	(-1.26467878056302e+001dB,8.30518861216434e-001°)
1.54881661891247e+004	(-1.44541035657357e+001dB,-4.68562889021849e+000°)
1.58489319246110e+004	(-1.62023427490755e+001dB,-9.54159018373966e+000°)
1.62181009735892e+004	(-1.78944466817344e+001dB,-1.38696886802113e+001°)
1.65958690743755e+004	(-1.95345460168242e+001dB,-1.77694313473569e+001°)
1.69824365246173e+004	(-2.11270574824380e+001dB,-2.13164422319299e+001°)
1.73780082874936e+004	(-2.26762624306155e+001dB,-2.45689643146871e+001°)
1.77827941003891e+004	(-2.41861280661376e+001dB,-2.75724962272011e+001°)
1.81970085860997e+004	(-2.56602485890102e+001dB,-3.03630877461281e+001°)
1.86208713666285e+004	(-2.71018436772348e+001dB,-3.29696937041560e+001°)
1.90546071796323e+004	(-2.85137825944136e+001dB,-3.54158708518245e+001°)
1.94984459975803e+004	(-2.98986180212903e+001dB,-3.77210148958266e+001°)
1.99526231496887e+004	(-3.12586218290372e+001dB,-3.99012733129892e+001°)
2.04173794466951e+004	(-3.25958191769579e+001dB,-4.19702272779506e+001°)
2.08929613085402e+004	(-3.39120194387209e+001dB,-4.39394073447508e+001°)
2.13796208950222e+004	(-3.52088435214529e+001dB,-4.58186880402868e+001°)
2.18776162394954e+004	(-3.64877476505516e+001dB,-4.76165932368656e+001°)
2.23872113856832e+004	(-3.77500439162482e+001dB,-4.93405350342798e+001°)
2.29086765276776e+004	(-3.89969179558990e+001dB,-5.09970025426968e+001°)
2.34422881531990e+004	(-4.02294441523539e+001dB,-5.25917125150346e+001°)
2.39883291901947e+004	(-4.14485987024160e+001dB,-5.41297306323075e+001°)
2.45470891568501e+004	(-4.26552708701584e+001dB,-5.56155699949610e+001°)
2.51188643150956e+004	(-4.38502726980183e+001dB,-5.70532717470299e+001°)
2.57039578276884e+004	(-4.50343474087204e+001dB,-5.84464715725465e+001°)
2.63026799189536e+004	(-4.62081766953726e+001dB,-5.97984549287445e+001°)
2.69153480392689e+004	(-4.73723870659946e+001dB,-6.11122032291844e+001°)
2.75422870333814e+004	(-4.85275553822249e+001dB,-6.23904327013724e+001°)
2.81838293126443e+004	(-4.96742137096339e+001dB,-6.36356272731310e+001°)
2.88403150312658e+004	(-5.08128535783003e+001dB,-6.48500665593589e+001°)
2.95120922666636e+004	(-5.19439297367141e+001dB,-6.60358498032843e+001°)
3.01995172040199e+004	(-5.30678634690385e+001dB,-6.71949164576147e+001°)
3.09029543251357e+004	(-5.41850455348944e+001dB,-6.83290639591965e+001°)
3.16227766016835e+004	(-5.52958387818136e+001dB,-6.94399631470585e+001°)
3.23593656929626e+004	(-5.64005804729680e+001dB,-7.05291716917208e+001°)
3.31131121482588e+004	(-5.74995843664394e+001dB,-7.15981458382742e+001°)
3.38844156139200e+004	(-5.85931425770501e+001dB,-7.26482507129336e+001°)
3.46736850452529e+004	(-5.96815272473062e+001dB,-7.36807694010965e+001°)
3.54813389233573e+004	(-6.07649920502750e+001dB,-7.46969109699901e+001°)
