f,mag,pha
1.14683252142249e+002,-5.82302327082734e-001,-7.36422211013351e-001
1.14815362149689e+002,-5.82302312521450e-001,-7.37270754290750e-001
1.14947624341984e+002,-5.82302297926539e-001,-7.38120275805385e-001
1.15080038894444e+002,-5.82302283297959e-001,-7.38970776686734e-001
1.15212605982582e+002,-5.82302268635592e-001,-7.39822258065651e-001
1.15345325782110e+002,-5.82302253939434e-001,-7.40674721074235e-001
1.15478198468947e+002,-5.82302239209322e-001,-7.41528166845872e-001
1.15611224219211e+002,-5.82302224445228e-001,-7.42382596515343e-001
1.15744403209225e+002,-5.82302209647085e-001,-7.43238011218707e-001
1.15877735615514e+002,-5.82302194814736e-001,-7.44094412093334e-001
1.16011221614806e+002,-5.82302179948202e-001,-7.44951800277897e-001
1.16144861384035e+002,-5.82302165047324e-001,-7.45810176912454e-001
1.16278655100336e+002,-5.82302150112107e-001,-7.46669543138311e-001
1.16412602941050e+002,-5.82302135142388e-001,-7.47529900098143e-001
1.16546705083721e+002,-5.82302120138129e-001,-7.48391248935957e-001
1.16680961706097e+002,-5.82302105099243e-001,-7.49253590797015e-001
1.16815372986133e+002,-5.82302090025625e-001,-7.50116926828017e-001
1.16949939101988e+002,-5.82302074917264e-001,-7.50981258176918e-001
1.17084660232025e+002,-5.82302059774010e-001,-7.51846585993048e-001
1.17219536554814e+002,-5.82302044595789e-001,-7.52712911427002e-001
1.17354568249130e+002,-5.82302029382561e-001,-7.53580235630787e-001
1.17489755493954e+002,-5.82302014134207e-001,-7.54448559757715e-001
1.17625098468473e+002,-5.82301998850670e-001,-7.55317884962395e-001
1.17760597352082e+002,-5.82301983531883e-001,-7.56188212400886e-001
1.17896252324380e+002,-5.82301968177736e-001,-7.57059543230479e-001
1.18032063565174e+002,-5.82301952788123e-001,-7.57931878609868e-001
1.18168031254479e+002,-5.82301937363010e-001,-7.58805219699025e-001
1.18304155572518e+002,-5.82301921902291e-001,-7.59679567659387e-001
1.18440436699718e+002,-5.82301906405878e-001,-7.60554923653598e-001
1.18576874816717e+002,-5.82301890873738e-001,-7.61431288845751e-001
1.18713470104361e+002,-5.82301875305716e-001,-7.62308664401259e-001
1.18850222743703e+002,-5.82301859701781e-001,-7.63187051486899e-001
1.18987132916005e+002,-5.82301844061851e-001,-7.64066451270765e-001
1.19124200802739e+002,-5.82301828385759e-001,-7.64946864922336e-001
1.19261426585583e+002,-5.82301812673541e-001,-7.65828293612468e-001
1.19398810446429e+002,-5.82301796925065e-001,-7.66710738513319e-001
1.19536352567373e+002,-5.82301781140226e-001,-7.67594200798467e-001
1.19674053130726e+002,-5.82301765318946e-001,-7.68478681642806e-001
1.19811912319005e+002,-5.82301749461150e-001,-7.69364182222595e-001
1.19949930314939e+002,-5.82301733566770e-001,-7.70250703715536e-001
1.20088107301468e+002,-5.82301717635704e-001,-7.71138247300581e-001
1.20226443461743e+002,-5.82301701667854e-001,-7.72026814158145e-001
1.20364938979123e+002,-5.82301685663146e-001,-7.72916405469944e-001
1.20503594037181e+002,-5.82301669621529e-001,-7.73807022419104e-001
1.20642408819701e+002,-5.82301653542847e-001,-7.74698666190117e-001
1.20781383510679e+002,-5.82301637427094e-001,-7.75591337968886e-001
1.20920518294322e+002,-5.82301621274128e-001,-7.76485038942616e-001
1.21059813355050e+002,-5.82301605083908e-001,-7.77379770299924e-001
1.21199268877494e+002,-5.82301588856250e-001,-7.78275533230802e-001
1.21338885046499e+002,-5.82301572591205e-001,-7.79172328926698e-001
