f,mag,pha
1.00000000000000e+003,-1.07068108161444e-001,1.79653760464780e+002
1.00230523807790e+003,-1.07114726132948e-001,1.79652951913892e+002
1.00461579027840e+003,-1.07161562820097e-001,1.79652141426364e+002
1.00693166885180e+003,-1.07208619265562e-001,1.79651328997218e+002
1.00925288607668e+003,-1.07255896517131e-001,1.79650514621461e+002
1.01157945425990e+003,-1.07303395627768e-001,1.79649698294087e+002
1.01391138573668e+003,-1.07351117655619e-001,1.79648880010072e+002
1.01624869287070e+003,-1.07399063664007e-001,1.79648059764378e+002
1.01859138805412e+003,-1.07447234721498e-001,1.79647237551951e+002
1.02093948370768e+003,-1.07495631901927e-001,1.79646413367723e+002
1.02329299228075e+003,-1.07544256284411e-001,1.79645587206609e+002
1.02565192625141e+003,-1.07593108953393e-001,1.79644759063508e+002
1.02801629812647e+003,-1.07642190998629e-001,1.79643928933306e+002
1.03038612044162e+003,-1.07691503515273e-001,1.79643096810870e+002
1.03276140576140e+003,-1.07741047603874e-001,1.79642262691054e+002
1.03514216667934e+003,-1.07790824370382e-001,1.79641426568694e+002
1.03752841581801e+003,-1.07840834926244e-001,1.79640588438611e+002
1.03992016582906e+003,-1.07891080388345e-001,1.79639748295612e+002
1.04231742939330e+003,-1.07941561879117e-001,1.79638906134484e+002
1.04472021922080e+003,-1.07992280526521e-001,1.79638061950001e+002
1.04712854805090e+003,-1.08043237464069e-001,1.79637215736920e+002
1.04954242865232e+003,-1.08094433830911e-001,1.79636367489982e+002
1.05196187382322e+003,-1.08145870771803e-001,1.79635517203910e+002
1.05438689639126e+003,-1.08197549437151e-001,1.79634664873412e+002
1.05681750921366e+003,-1.08249470983050e-001,1.79633810493182e+002
1.05925372517729e+003,-1.08301636571333e-001,1.79632954057892e+002
1.06169555719872e+003,-1.08354047369560e-001,1.79632095562202e+002
1.06414301822431e+003,-1.08406704551084e-001,1.79631235000755e+002
1.06659612123026e+003,-1.08459609295050e-001,1.79630372368174e+002
1.06905487922266e+003,-1.08512762786448e-001,1.79629507659069e+002
1.07151930523761e+003,-1.08566166216150e-001,1.79628640868030e+002
1.07398941234124e+003,-1.08619820780898e-001,1.79627771989633e+002
1.07646521362983e+003,-1.08673727683395e-001,1.79626901018435e+002
1.07894672222983e+003,-1.08727888132291e-001,1.79626027948978e+002
1.08143395129794e+003,-1.08782303342240e-001,1.79625152775783e+002
1.08392691402120e+003,-1.08836974533918e-001,1.79624275493358e+002
1.08642562361706e+003,-1.08891902934039e-001,1.79623396096192e+002
1.08893009333343e+003,-1.08947089775443e-001,1.79622514578755e+002
1.09144033644875e+003,-1.09002536297065e-001,1.79621630935503e+002
1.09395636627209e+003,-1.09058243743996e-001,1.79620745160872e+002
1.09647819614318e+003,-1.09114213367524e-001,1.79619857249282e+002
1.09900583943252e+003,-1.09170446425147e-001,1.79618967195132e+002
1.10153930954141e+003,-1.09226944180623e-001,1.79618074992809e+002
1.10407861990207e+003,-1.09283707903988e-001,1.79617180636676e+002
1.10662378397766e+003,-1.09340738871602e-001,1.79616284121084e+002
1.10917481526240e+003,-1.09398038366180e-001,1.79615385440360e+002
