f,v1,v2
7000,-0.005138489508189314,-0.30881225860302242
7004.3389562684388,-0.0046520648563471451,-0.31036609093110357
7008.6806020428057,-0.0051201780912205367,-0.31259914612885242
7013.0249389901956,-0.0046561316485460597,-0.31432441391538013
7017.3719687787325,-0.0044023846259267623,-0.31475346563321516
7021.7216930775749,-0.004338074015420551,-0.31539533613307746
7026.0741135569206,-0.0049398808865377996,-0.31742769409083049
7030.4292318879961,-0.0041240550532505625,-0.31928372939225202
7034.7870497430713,-0.0042391163099583032,-0.32023614454732396
7039.1475687954462,-0.0039068413385856876,-0.32189009294584825
7043.5107907194597,-0.004564071805929713,-0.32343233385134812
7047.8767171904901,-0.0046931146067129819,-0.32564212543788856
7052.2453498849536,-0.0045519417679955546,-0.32724689211124269
7056.6166904803031,-0.0046620589893672766,-0.32852164127789396
7060.9907406550365,-0.0038049313020117404,-0.32912297065572094
7065.3675020886885,-0.0046508707076845851,-0.33174067978388933
7069.7469764618336,-0.0040874161620593711,-0.33268923659879879
7074.1291654560891,-0.0043276474524306455,-0.33427640182227003
7078.5140707541195,-0.0038402485483863022,-0.33514836443377916
7082.901694039625,-0.0042193053140224916,-0.3374996356004677
7087.2920369973526,-0.0046251921101975258,-0.33973528716922319
7091.6851013130936,-0.0036186352328499982,-0.3408015011034804
7096.080888673685,-0.0046855631602101978,-0.34313838197883556
7100.4794007670089,-0.004815121117930447,-0.34476070947439685
7104.8806392819924,-0.0046509256293698602,-0.34659886310326504
7109.2846059086087,-0.005858685155918383,-0.34911714063911697
7113.6913023378856,-0.0062251257273151844,-0.35106876403562465
7118.1007302618864,-0.0067200639849363053,-0.35267396326606831
7122.5128913737381,-0.0057982359657041778,-0.35395748643584091
7126.9277873676056,-0.0064789950346410162,-0.35683613214333804
7131.345419938707,-0.007357819019847031,-0.3583754992905635
7135.7657907833136,-0.0077528833509108649,-0.36105534761698166
7140.1889015987472,-0.0089649672542060979,-0.36364758272053155
7144.6147540833799,-0.0088310102340107364,-0.36636463778857009
7149.04334993664,-0.0092632409257209815,-0.36763702454040953
7153.4746908590041,-0.01060901710090098,-0.37115853765422618
7157.9087785520078,-0.011647025941185277,-0.3742266918090742
7162.3456147182387,-0.011931064288413139,-0.37662252049762901
7166.7852010613406,-0.012826724993334818,-0.37865190232374418
7171.2275392860129,-0.014511979772775629,-0.38249789478555513
7175.6726310980121,-0.015855823767143673,-0.3850853409470833
7180.1204782041495,-0.015743847673709961,-0.3866420377289132
7184.5710823123009,-0.018123046196818374,-0.39128129071940243
7189.0244451313929,-0.019415769286088565,-0.39454597761399557
7193.4805683714167,-0.02111038092778228,-0.39847859672349151
7197.9394537434218,-0.01953847893815807,-0.39804290213634069
7202.4011029595158,-0.017598695715632735,-0.39801225927534684
7206.8655177328737,-0.016423080639679549,-0.39883500549209905
7211.3326997777258,-0.015993859590594902,-0.40036574849780338
7215.8026508093699,-0.014573989356366911,-0.40109125981464644
7220.2753725441626,-0.013170254446937167,-0.40162054597620173
7224.7508666995282,-0.012725485865019065,-0.40323280673867457
7229.2291349939542,-0.011957282458804976,-0.40414402517670539
7233.7101791469913,-0.009958747169559766,-0.40559061815211417
7238.1940008792608,-0.0056325846147586966,-0.40237894275420139
7242.6806019124451,-0.0057589812366666627,-0.40375588990879552
7247.1699839692983,-0.0052008499618060762,-0.40597955212469899
7251.6621487736402,-0.0046499134240369396,-0.40847432972647435
7256.1570980503584,-0.0055017443838394423,-0.41042442848197996
7260.6548335254101,-0.0060124698709493,-0.41326391039823779
7265.1553569258249,-0.0057018565332480056,-0.41473333064160867
7269.658669979699,-0.0050839399163396057,-0.4166109039443342
7274.1647744162028,-0.0045232251402620056,-0.41783728556556793
7278.6736719655755,-0.0046865019399188268,-0.42068858051383895
7283.1853643591339,-0.0050117832131570629,-0.42293805557631992
7287.6998533292608,-0.0049306951825515994,-0.42552016934760512
7292.2171406094194,-0.0048543711265939555,-0.42616787200658957
7296.7372279341434,-0.0052028261546096417,-0.42980275201169232
7301.2601170390426,-0.0048945569276649028,-0.43254278072193764
7305.7858096608043,-0.0046749845221778436,-0.43369733293023022
7310.3143075371909,-0.0046194126683751528,-0.43583716855027438
7314.8456124070399,-0.0046603666925354535,-0.43787929290532523
7319.3797260102729,-0.0046844207366176097,-0.44053552048793515
7323.916650087881,-0.0046896231159512707,-0.44313294715155521
7328.4563863819412,-0.0048473617079297189,-0.44656496486535413
7332.9989366356094,-0.004419185024913402,-0.44754177922626226
7337.5443025931208,-0.0057108917523996834,-0.45100943954908035
7342.0924859997913,-0.0054066391277067536,-0.45407824944823544
7346.643488602017,-0.0039925713893494081,-0.45455091740274289
7351.1973121472829,-0.0050366096668250943,-0.45803622613696249
7355.7539583841508,-0.0055073190649051647,-0.46061812789057471
7360.3134290622702,-0.0056332867043159679,-0.46309015649249613
7364.8757259323711,-0.0060297214309846352,-0.46593127614738861
7369.4408507462722,-0.0061908291381529684,-0.46934135553560491
7374.0088052568772,-0.0065440114558343049,-0.4726089288066907
7378.5795912181766,-0.0065560897477357823,-0.47458354504505912
7383.1532103852487,-0.006821059938145935,-0.47726426767136115
7387.7296645142551,-0.0071647870377475635,-0.48064111176767177
7392.3089553624523,-0.007260123135795749,-0.48343777872393773
7396.8910846881818,-0.0076774591889565936,-0.48646374410269916
7401.4760542508775,-0.0088226264019714527,-0.49007627317988883
7406.0638658110638,-0.009841389521181923,-0.49333602589777842
7410.6545211303528,-0.010101809541598616,-0.49683052427307689
7415.2480219714516,-0.010245138242007606,-0.49988052013823048
7419.8443700981616,-0.011612488832912686,-0.50372210370162851
7424.4435672753734,-0.012552966870651123,-0.50708468791213135
7429.045615269074,-0.013354587796469898,-0.51138054135823607
7433.6505158463442,-0.01450160070325201,-0.51506985225982571
7438.2582707753618,-0.015636169366233535,-0.51796360818346032
7442.8688818253968,-0.016131640828905624,-0.52297079901856414
7447.4823507668207,-0.016810060871940653,-0.5267449430504243
7452.0986793710999,-0.019790167969406993,-0.5313025948460135
7456.7178694107979,-0.021118790087537743,-0.53540725792480515
7461.3399226595784,-0.02112135366042759,-0.53903482675466363
7465.9648408922039,-0.018332176406567813,-0.53955323092805918
7470.5926258845375,-0.017442613603667858,-0.54181982199312906
7475.2232794135434,-0.017044613920870384,-0.54388556271882038
7479.8568032572866,-0.01523922373112562,-0.545796590373542
7484.4931991949315,-0.01418178782326582,-0.54793705538608961
7489.1324690067522,-0.013870550361815689,-0.54965172179965427
7493.7746144741195,-0.011950920716192954,-0.55228028101324778
7498.4196373795112,-0.011359479604722814,-0.55433953900753707
7503.06753950651,-0.011044443621651544,-0.55723258808484855
7507.7183226398065,-0.010362881567829905,-0.55897103489594357
7512.3719885651899,-0.0066041674214526464,-0.55892936368485069
7517.0285390695662,-0.0058577053224128321,-0.56186533617105228
7521.687975940943,-0.0061277794938904883,-0.56474042764263732
7526.3503009684364,-0.0060556121282661652,-0.56821140737611642
7531.0155159422739,-0.0057876830131497799,-0.5712394203633655
7535.6836226537898,-0.00640812687614788,-0.57500618694245964
7540.3546228954301,-0.0066564742179640885,-0.5784177867027015
7545.0285184607546,-0.0057488519592123598,-0.58066396830168376
7549.7053111444302,-0.0060495222092940342,-0.58487051446606197
7554.3850027422395,-0.0060330097617870108,-0.58872727774030498
7559.0675950510749,-0.0060000933986652403,-0.59189999926247139
