f,mag,pha
1.42232878712281e+003,-7.88470385790803e-002,1.78071407594256e+002
1.42560759360218e+003,-7.87613750176884e-002,1.78066733517398e+002
1.42889395851109e+003,-7.86753006739158e-002,1.78062047027492e+002
1.43218789927353e+003,-7.85888135058156e-002,1.78057348083895e+002
1.43548943335364e+003,-7.85019114606134e-002,1.78052636645777e+002
1.43879857825583e+003,-7.84145924746740e-002,1.78047912672126e+002
1.44211535152486e+003,-7.83268544733549e-002,1.78043176121737e+002
1.44543977074592e+003,-7.82386953710410e-002,1.78038426953222e+002
1.44877185354475e+003,-7.81501130710324e-002,1.78033665124998e+002
1.45211161758773e+003,-7.80611054654475e-002,1.78028890595295e+002
1.45545908058195e+003,-7.79716704352247e-002,1.78024103322147e+002
1.45881426027534e+003,-7.78818058500094e-002,1.78019303263398e+002
1.46217717445671e+003,-7.77915095681048e-002,1.78014490376695e+002
1.46554784095590e+003,-7.77007794363985e-002,1.78009664619489e+002
1.46892627764385e+003,-7.76096132902918e-002,1.78004825949035e+002
1.47231250243271e+003,-7.75180089536471e-002,1.77999974322389e+002
1.47570653327588e+003,-7.74259642386959e-002,1.77995109696407e+002
1.47910838816819e+003,-7.73334769459787e-002,1.77990232027744e+002
1.48251808514594e+003,-7.72405448643160e-002,1.77985341272852e+002
1.48593564228699e+003,-7.71471657706542e-002,1.77980437387982e+002
1.48936107771090e+003,-7.70533374300762e-002,1.77975520329177e+002
1.49279440957898e+003,-7.69590575956796e-002,1.77970590052276e+002
1.49623565609442e+003,-7.68643240085210e-002,1.77965646512908e+002
1.49968483550236e+003,-7.67691343975579e-002,1.77960689666496e+002
1.50314196609001e+003,-7.66734864795635e-002,1.77955719468251e+002
1.50660706618673e+003,-7.65773779590443e-002,1.77950735873173e+002
1.51008015416413e+003,-7.64808065281756e-002,1.77945738836048e+002
1.51356124843619e+003,-7.63837698667492e-002,1.77940728311449e+002
1.51705036745932e+003,-7.62862656420456e-002,1.77935704253733e+002
1.52054752973248e+003,-7.61882915088166e-002,1.77930666617039e+002
1.52405275379728e+003,-7.60898451091818e-002,1.77925615355289e+002
1.52756605823806e+003,-7.59909240725536e-002,1.77920550422183e+002
1.53108746168201e+003,-7.58915260155509e-002,1.77915471771201e+002
1.53461698279928e+003,-7.57916485419595e-002,1.77910379355600e+002
1.53815464030302e+003,-7.56912892425924e-002,1.77905273128412e+002
1.54170045294954e+003,-7.55904456952920e-002,1.77900153042444e+002
1.54525443953840e+003,-7.54891154647762e-002,1.77895019050276e+002
1.54881661891247e+003,-7.53872961025953e-002,1.77889871104258e+002
1.55238700995807e+003,-7.52849851470570e-002,1.77884709156510e+002
1.55596563160506e+003,-7.51821801231215e-002,1.77879533158921e+002
1.55955250282694e+003,-7.50788785423526e-002,1.77874343063146e+002
1.56314764264094e+003,-7.49750779028199e-002,1.77869138820606e+002
1.56675107010813e+003,-7.48707756889902e-002,1.77863920382485e+002
1.57036280433354e+003,-7.47659693716977e-002,1.77858687699728e+002
1.57398286446620e+003,-7.46606564080226e-002,1.77853440723042e+002
1.57761126969933e+003,-7.45548342412157e-002,1.77848179402893e+002
1.58124803927037e+003,-7.44485003006191e-002,1.77842903689502e+002
1.58489319246110e+003,-7.43416520015889e-002,1.77837613532847e+002
1.58854674859776e+003,-7.42342867453754e-002,1.77832308882661e+002
1.59220872705115e+003,-7.41264019190781e-002,1.77826989688428e+002
1.59587914723672e+003,-7.40179948955436e-002,1.77821655899383e+002
