f,mag,pha
1.00000000000000e+003,-8.18842793854072e-002,1.79489047685602e+002
1.00230523807790e+003,-8.18133429408714e-002,1.79487838932760e+002
1.00461579027840e+003,-8.17420703392427e-002,1.79486627175270e+002
1.00693166885180e+003,-8.16704599464872e-002,1.79485412404645e+002
1.00925288607668e+003,-8.15985101202520e-002,1.79484194612366e+002
1.01157945425990e+003,-8.15262192098213e-002,1.79482973789885e+002
1.01391138573668e+003,-8.14535855560474e-002,1.79481749928622e+002
1.01624869287070e+003,-8.13806074913166e-002,1.79480523019964e+002
1.01859138805412e+003,-8.13072833395082e-002,1.79479293055267e+002
1.02093948370768e+003,-8.12336114159445e-002,1.79478060025858e+002
1.02329299228075e+003,-8.11595900273160e-002,1.79476823923029e+002
1.02565192625141e+003,-8.10852174716864e-002,1.79475584738041e+002
1.02801629812647e+003,-8.10104920383982e-002,1.79474342462122e+002
1.03038612044162e+003,-8.09354120080473e-002,1.79473097086469e+002
1.03276140576140e+003,-8.08599756524254e-002,1.79471848602245e+002
1.03514216667934e+003,-8.07841812344801e-002,1.79470597000581e+002
1.03752841581801e+003,-8.07080270082461e-002,1.79469342272576e+002
1.03992016582906e+003,-8.06315112188287e-002,1.79468084409294e+002
1.04231742939330e+003,-8.05546321023155e-002,1.79466823401766e+002
1.04472021922080e+003,-8.04773878857598e-002,1.79465559240992e+002
1.04712854805090e+003,-8.03997767871049e-002,1.79464291917936e+002
1.04954242865232e+003,-8.03217970151476e-002,1.79463021423528e+002
1.05196187382322e+003,-8.02434467694759e-002,1.79461747748666e+002
1.05438689639126e+003,-8.01647242404455e-002,1.79460470884212e+002
1.05681750921366e+003,-8.00856276090736e-002,1.79459190820995e+002
1.05925372517729e+003,-8.00061550470476e-002,1.79457907549809e+002
1.06169555719872e+003,-7.99263047166405e-002,1.79456621061413e+002
1.06414301822431e+003,-7.98460747706482e-002,1.79455331346532e+002
1.06659612123026e+003,-7.97654633523633e-002,1.79454038395855e+002
1.06905487922266e+003,-7.96844685954956e-002,1.79452742200037e+002
1.07151930523761e+003,-7.96030886241618e-002,1.79451442749696e+002
1.07398941234124e+003,-7.95213215527524e-002,1.79450140035416e+002
1.07646521362983e+003,-7.94391654859681e-002,1.79448834047744e+002
1.07894672222983e+003,-7.93566185187119e-002,1.79447524777191e+002
1.08143395129794e+003,-7.92736787360284e-002,1.79446212214234e+002
1.08392691402120e+003,-7.91903442130778e-002,1.79444896349311e+002
1.08642562361706e+003,-7.91066130150672e-002,1.79443577172824e+002
1.08893009333343e+003,-7.90224831971797e-002,1.79442254675140e+002
1.09144033644875e+003,-7.89379528045480e-002,1.79440928846587e+002
1.09395636627209e+003,-7.88530198721679e-002,1.79439599677456e+002
1.09647819614318e+003,-7.87676824248618e-002,1.79438267158003e+002
1.09900583943252e+003,-7.86819384772063e-002,1.79436931278444e+002
1.10153930954141e+003,-7.85957860334907e-002,1.79435592028958e+002
1.10407861990207e+003,-7.85092230876172e-002,1.79434249399687e+002
1.10662378397766e+003,-7.84222476231287e-002,1.79432903380733e+002
1.10917481526240e+003,-7.83348576130264e-002,1.79431553962160e+002
1.11173172728159e+003,-7.82470510198278e-002,1.79430201133996e+002
1.11429453359173e+003,-7.81588257954376e-002,1.79428844886228e+002
1.11686324778056e+003,-7.80701798811057e-002,1.79427485208803e+002
1.11943788346715e+003,-7.79811112073662e-002,1.79426122091632e+002
1.12201845430196e+003,-7.78916176939642e-002,1.79424755524584e+002
1.12460497396692e+003,-7.78016972498233e-002,1.79423385497488e+002
1.12719745617551e+003,-7.77113477729685e-002,1.79422012000137e+002
1.12979591467279e+003,-7.76205671504448e-002,1.79420635022279e+002
1.13240036323555e+003,-7.75293532582790e-002,1.79419254553626e+002
1.13501081567231e+003,-7.74377039614089e-002,1.79417870583846e+002
1.13762728582343e+003,-7.73456171136051e-002,1.79416483102568e+002
1.14024978756117e+003,-7.72530905574466e-002,1.79415092099381e+002
1.14287833478977e+003,-7.71601221242049e-002,1.79413697563832e+002
1.14551294144553e+003,-7.70667096338216e-002,1.79412299485425e+002
1.14815362149688e+003,-7.69728508948082e-002,1.79410897853624e+002
1.15080038894443e+003,-7.68785437042106e-002,1.79409492657852e+002
1.15345325782109e+003,-7.67837858475294e-002,1.79408083887489e+002
1.15611224219210e+003,-7.66885750986347e-002,1.79406671531872e+002
1.15877735615512e+003,-7.65929092197411e-002,1.79405255580296e+002
1.16144861384034e+003,-7.64967859613060e-002,1.79403836022013e+002
1.16412602941049e+003,-7.64002030619667e-002,1.79402412846232e+002
1.16680961706096e+003,-7.63031582484863e-002,1.79400986042121e+002
1.16949939101987e+003,-7.62056492356703e-002,1.79399555598801e+002
1.17219536554813e+003,-7.61076737262983e-002,1.79398121505350e+002
1.17489755493953e+003,-7.60092294110629e-002,1.79396683750805e+002
1.17760597352080e+003,-7.59103139684907e-002,1.79395242324155e+002
1.18032063565173e+003,-7.58109250648828e-002,1.79393797214346e+002
1.18304155572516e+003,-7.57110603542227e-002,1.79392348410279e+002
1.18576874816716e+003,-7.56107174781230e-002,1.79390895900812e+002
1.18850222743701e+003,-7.55098940657480e-002,1.79389439674755e+002
1.19124200802737e+003,-7.54085877337493e-002,1.79387979720874e+002
1.19398810446427e+003,-7.53067960861536e-002,1.79386516027889e+002
1.19674053130724e+003,-7.52045167143610e-002,1.79385048584473e+002
1.19949930314937e+003,-7.51017471969849e-002,1.79383577379254e+002
1.20226443461741e+003,-7.49984850998516e-002,1.79382102400813e+002
1.20503594037179e+003,-7.48947279758865e-002,1.79380623637685e+002
1.20781383510678e+003,-7.47904733650300e-002,1.79379141078356e+002
1.21059813355048e+003,-7.46857187941971e-002,1.79377654711267e+002
1.21338885046497e+003,-7.45804617771642e-002,1.79376164524809e+002
1.21618600064636e+003,-7.44746998145300e-002,1.79374670507327e+002
1.21898959892486e+003,-7.43684303935847e-002,1.79373172647117e+002
1.22179966016487e+003,-7.42616509882783e-002,1.79371670932427e+002
1.22461619926504e+003,-7.41543590591355e-002,1.79370165351456e+002
1.22743923115840e+003,-7.40465520531436e-002,1.79368655892354e+002
