f,mag,pha
1.00000000000000e+003,-1.05223793370094e-001,1.78967708493312e+002
1.00230523807790e+003,-1.05261854451976e-001,1.78965295759923e+002
1.00461579027840e+003,-1.05300094379391e-001,1.78962877233179e+002
1.00693166885180e+003,-1.05338514007522e-001,1.78960452898096e+002
1.00925288607668e+003,-1.05377114195771e-001,1.78958022739641e+002
1.01157945425990e+003,-1.05415895807793e-001,1.78955586742734e+002
1.01391138573668e+003,-1.05454859711491e-001,1.78953144892252e+002
1.01624869287070e+003,-1.05494006779113e-001,1.78950697173021e+002
1.01859138805412e+003,-1.05533337887163e-001,1.78948243569824e+002
1.02093948370768e+003,-1.05572853916524e-001,1.78945784067394e+002
1.02329299228075e+003,-1.05612555752429e-001,1.78943318650418e+002
1.02565192625141e+003,-1.05652444284503e-001,1.78940847303536e+002
1.02801629812647e+003,-1.05692520406771e-001,1.78938370011337e+002
1.03038612044162e+003,-1.05732785017683e-001,1.78935886758367e+002
1.03276140576140e+003,-1.05773239020166e-001,1.78933397529120e+002
1.03514216667934e+003,-1.05813883321604e-001,1.78930902308044e+002
1.03752841581801e+003,-1.05854718833901e-001,1.78928401079537e+002
1.03992016582906e+003,-1.05895746473469e-001,1.78925893827948e+002
1.04231742939330e+003,-1.05936967161282e-001,1.78923380537580e+002
1.04472021922080e+003,-1.05978381822883e-001,1.78920861192683e+002
1.04712854805090e+003,-1.06019991388413e-001,1.78918335777460e+002
1.04954242865232e+003,-1.06061796792643e-001,1.78915804276063e+002
1.05196187382322e+003,-1.06103798974962e-001,1.78913266672597e+002
1.05438689639126e+003,-1.06145998879485e-001,1.78910722951113e+002
1.05681750921366e+003,-1.06188397454962e-001,1.78908173095615e+002
1.05925372517729e+003,-1.06230995654903e-001,1.78905617090055e+002
1.06169555719872e+003,-1.06273794437555e-001,1.78903054918336e+002
1.06414301822431e+003,-1.06316794765934e-001,1.78900486564307e+002
1.06659612123026e+003,-1.06359997607854e-001,1.78897912011769e+002
1.06905487922266e+003,-1.06403403935943e-001,1.78895331244472e+002
1.07151930523761e+003,-1.06447014727698e-001,1.78892744246111e+002
1.07398941234124e+003,-1.06490830965461e-001,1.78890151000333e+002
1.07646521362983e+003,-1.06534853636487e-001,1.78887551490731e+002
1.07894672222983e+003,-1.06579083732984e-001,1.78884945700846e+002
