Freq.	V(vin_2)
1.00000000000000e+002	(-8.96313160030749e+001dB,1.25317786492519e+001°)
1.02329299228075e+002	(-8.92406890341137e+001dB,1.22512455061991e+001°)
1.04712854805090e+002	(-8.88496570199995e+001dB,1.19764207192211e+001°)
1.07151930523761e+002	(-8.84582364848516e+001dB,1.17072083871289e+001°)
1.09647819614318e+002	(-8.80664433363744e+001dB,1.14435125433934e+001°)
1.12201845430196e+002	(-8.76742928826513e+001dB,1.11852372789662e+001°)
1.14815362149688e+002	(-8.72817998492488e+001dB,1.09322868571409e+001°)
1.17489755493953e+002	(-8.68889783960870e+001dB,1.06845658192832e+001°)
1.20226443461741e+002	(-8.64958421340957e+001dB,1.04419790831142e+001°)
1.23026877081238e+002	(-8.61024041426064e+001dB,1.02044320335307e+001°)
1.25892541179417e+002	(-8.57086769850691e+001dB,9.97183060547442e+000°)
1.28824955169313e+002	(-8.53146727263561e+001dB,9.74408136073883e+000°)
1.31825673855641e+002	(-8.49204029483300e+001dB,9.52109155775807e+000°)
1.34896288259165e+002	(-8.45258787656142e+001dB,9.30276921478822e+000°)
1.38038426460288e+002	(-8.41311108418296e+001dB,9.08902316840936e+000°)
1.41253754462275e+002	(-8.37361094040311e+001dB,8.87976312511026e+000°)
1.44543977074593e+002	(-8.33408842582893e+001dB,8.67489970868666e+000°)
1.47910838816821e+002	(-8.29454448039583e+001dB,8.47434450224835e+000°)
1.51356124843621e+002	(-8.25498000480143e+001dB,8.27801008550115e+000°)
1.54881661891248e+002	(-8.21539586188866e+001dB,8.08581006793930e+000°)
1.58489319246111e+002	(-8.17579287801182e+001dB,7.89765911797493e+000°)
1.62181009735893e+002	(-8.13617184432380e+001dB,7.71347298778629e+000°)
1.65958690743756e+002	(-8.09653351805560e+001dB,7.53316853505346e+000°)
1.69824365246174e+002	(-8.05687862378244e+001dB,7.35666374138095e+000°)
1.73780082874937e+002	(-8.01720785457571e+001dB,7.18387772687175e+000°)
1.77827941003892e+002	(-7.97752187319956e+001dB,7.01473076287962e+000°)
1.81970085860998e+002	(-7.93782131321058e+001dB,6.84914428108537e+000°)
1.86208713666287e+002	(-7.89810678003908e+001dB,6.68704088037518e+000°)
1.90546071796324e+002	(-7.85837885203198e+001dB,6.52834433162580e+000°)
1.94984459975804e+002	(-7.81863808149660e+001dB,6.37297958009382e+000°)
1.99526231496888e+002	(-7.77888499562092e+001dB,6.22087274564355e+000°)
2.04173794466953e+002	(-7.73912009742792e+001dB,6.07195112131554e+000°)
2.08929613085404e+002	(-7.69934386668306e+001dB,5.92614317014442e+000°)
2.13796208950223e+002	(-7.65955676075652e+001dB,5.78337852047321e+000°)
2.18776162394955e+002	(-7.61975921543310e+001dB,5.64358795949744e+000°)
2.23872113856834e+002	(-7.57995164573035e+001dB,5.50670342587885e+000°)
2.29086765276777e+002	(-7.54013444664063e+001dB,5.37265800075653e+000°)
2.34422881531992e+002	(-7.50030799388730e+001dB,5.24138589805344e+000°)
2.39883291901949e+002	(-7.46047264459495e+001dB,5.11282245328017e+000°)
2.45470891568503e+002	(-7.42062873797456e+001dB,4.98690411188809e+000°)
2.51188643150958e+002	(-7.38077659594535e+001dB,4.86356841626111e+000°)
2.57039578276886e+002	(-7.34091652376707e+001dB,4.74275399255165e+000°)
2.63026799189538e+002	(-7.30104881058944e+001dB,4.62440053623078e+000°)
2.69153480392691e+002	(-7.26117373001817e+001dB,4.50844879744151e+000°)
2.75422870333816e+002	(-7.22129154063365e+001dB,4.39484056554010e+000°)
2.81838293126445e+002	(-7.18140248648954e+001dB,4.28351865335757e+000°)
2.88403150312660e+002	(-7.14150679757801e+001dB,4.17442688082190e+000°)
2.95120922666638e+002	(-7.10160469027227e+001dB,4.06751005824867e+000°)
3.01995172040201e+002	(-7.06169636775320e+001dB,3.96271396946474e+000°)
