Freq.	V(vin_3)
1.00000000000000e+002	(-9.21294016453295e+001dB,-1.67874670977756e+002°)
1.02329299228075e+002	(-9.17387405074071e+001dB,-1.68164673302185e+002°)
1.04712854805090e+002	(-9.13476727138998e+001dB,-1.68449187961570e+002°)
1.07151930523761e+002	(-9.09562147129635e+001dB,-1.68728316006730e+002°)
1.09647819614318e+002	(-9.05643823331908e+001dB,-1.69002158673868e+002°)
1.12201845430196e+002	(-9.01721907990190e+001dB,-1.69270817266081e+002°)
1.14815362149688e+002	(-8.97796547489552e+001dB,-1.69534393039902e+002°)
1.17489755493953e+002	(-8.93867882517878e+001dB,-1.69792987103096e+002°)
1.20226443461741e+002	(-8.89936048229377e+001dB,-1.70046700319703e+002°)
1.23026877081238e+002	(-8.86001174414537e+001dB,-1.70295633222246e+002°)
1.25892541179417e+002	(-8.82063385661449e+001dB,-1.70539885931881e+002°)
1.28824955169313e+002	(-8.78122801523331e+001dB,-1.70779558084758e+002°)
1.31825673855641e+002	(-8.74179536667103e+001dB,-1.71014748766534e+002°)
1.34896288259165e+002	(-8.70233701038309e+001dB,-1.71245556451334e+002°)
1.38038426460288e+002	(-8.66285400010879e+001dB,-1.71472078948020e+002°)
1.41253754462275e+002	(-8.62334734538507e+001dB,-1.71694413351229e+002°)
1.44543977074593e+002	(-8.58381801300141e+001dB,-1.71912655998464e+002°)
1.47910838816821e+002	(-8.54426692841943e+001dB,-1.72126902431668e+002°)
1.51356124843621e+002	(-8.50469497719826e+001dB,-1.72337247363683e+002°)
1.54881661891248e+002	(-8.46510300632179e+001dB,-1.72543784649288e+002°)
1.58489319246111e+002	(-8.42549182553489e+001dB,-1.72746607260208e+002°)
1.62181009735893e+002	(-8.38586220859447e+001dB,-1.72945807264391e+002°)
1.65958690743756e+002	(-8.34621489452904e+001dB,-1.73141475808679e+002°)
1.69824365246174e+002	(-8.30655058884640e+001dB,-1.73333703104800e+002°)
1.73780082874937e+002	(-8.26686996464897e+001dB,-1.73522578419361e+002°)
1.77827941003892e+002	(-8.22717366378808e+001dB,-1.73708190065959e+002°)
1.81970085860998e+002	(-8.18746229792227e+001dB,-1.73890625400713e+002°)
1.86208713666287e+002	(-8.14773644956411e+001dB,-1.74069970820175e+002°)
1.90546071796324e+002	(-8.10799667305377e+001dB,-1.74246311762080e+002°)
1.94984459975804e+002	(-8.06824349554827e+001dB,-1.74419732707785e+002°)
1.99526231496888e+002	(-8.02847741791327e+001dB,-1.74590317187496e+002°)
2.04173794466953e+002	(-7.98869891561320e+001dB,-1.74758147787141e+002°)
2.08929613085404e+002	(-7.94890843954023e+001dB,-1.74923306157258e+002°)
2.13796208950223e+002	(-7.90910641683557e+001dB,-1.75085873023422e+002°)
2.18776162394955e+002	(-7.86929325163880e+001dB,-1.75245928198582e+002°)
2.23872113856834e+002	(-7.82946932581393e+001dB,-1.75403550596725e+002°)
