Freq.	V(vin_5)
2.23872113856833e+003	(2.56924197917382e+001dB,1.49333558860534e+002°)
2.29086765276776e+003	(2.57158218002405e+001dB,1.48446658704837e+002°)
2.34422881531991e+003	(2.57394813075848e+001dB,1.47526897441349e+002°)
2.39883291901948e+003	(2.57633128650614e+001dB,1.46572716128918e+002°)
2.45470891568502e+003	(2.57872156809750e+001dB,1.45582484346129e+002°)
2.51188643150957e+003	(2.58110716648368e+001dB,1.44554500859713e+002°)
2.57039578276885e+003	(2.58347432792311e+001dB,1.43486995442738e+002°)
2.63026799189537e+003	(2.58580711938501e+001dB,1.42378132117080e+002°)
2.69153480392690e+003	(2.58808717406830e+001dB,1.41226014138961e+002°)
2.75422870333815e+003	(2.59029341755920e+001dB,1.40028691093521e+002°)
2.81838293126444e+003	(2.59240177599286e+001dB,1.38784168512922e+002°)
2.88403150312659e+003	(2.59438486868716e+001dB,1.37490420479973e+002°)
2.95120922666637e+003	(2.59621168912707e+001dB,1.36145405722174e+002°)
3.01995172040200e+003	(2.59784727993823e+001dB,1.34747087734577e+002°)
3.09029543251358e+003	(2.59925240963552e+001dB,1.33293459487198e+002°)
3.16227766016836e+003	(2.60038326148257e+001dB,1.31782573265466e+002°)
3.23593656929627e+003	(2.60119114774183e+001dB,1.30212576149785e+002°)
3.31131121482590e+003	(2.60162226587644e+001dB,1.28581751550141e+002°)
3.38844156139201e+003	(2.60161751676646e+001dB,1.26888567059905e+002°)
3.46736850452530e+003	(2.60111240852239e+001dB,1.25131728665025e+002°)
3.54813389233574e+003	(2.60003707271287e+001dB,1.23310241027504e+002°)
3.63078054770100e+003	(2.59831642235164e+001dB,1.21423473145671e+002°)
3.71535229097171e+003	(2.59587048226633e+001dB,1.19471228176134e+002°)
3.80189396320559e+003	(2.59261492185371e+001dB,1.17453815592237e+002°)
3.89045144994279e+003	(2.58846181700972e+001dB,1.15372123176431e+002°)
3.98107170553495e+003	(2.58332066152908e+001dB,1.13227685644162e+002°)
4.07380277804111e+003	(2.57709963797552e+001dB,1.11022746042272e+002°)
4.16869383470333e+003	(2.56970714371534e+001dB,1.08760305544566e+002°)
4.26579518801591e+003	(2.56105354976293e+001dB,1.06444156985966e+002°)
4.36515832240164e+003	(2.55105314922997e+001dB,1.04078897543016e+002°)
4.46683592150961e+003	(2.53962623015980e+001dB,1.01669916476269e+002°)
4.57088189614873e+003	(2.52670118671657e+001dB,9.92233548558808e+001°)
4.67735141287196e+003	(2.51221656592295e+001dB,9.67460356918901e+001°)
4.78630092322636e+003	(2.49612293732793e+001dB,9.42453648044572e+001°)
4.89778819368444e+003	(2.47838447262563e+001dB,9.17292049335646e+001°)
5.01187233627270e+003	(2.45898013281112e+001dB,8.92057277703779e+001°)
5.12861383991362e+003	(2.43790438194303e+001dB,8.66832505234563e+001°)
5.24807460249770e+003	(2.41516737728259e+001dB,8.41700650501395e+001°)
5.37031796370250e+003	(2.39079462223479e+001dB,8.16742682827167e+001°)
5.49540873857622e+003	(2.36482610681227e+001dB,7.92036025563604e+001°)
5.62341325190346e+003	(2.33731499566216e+001dB,7.67653135197393e+001°)
5.75439937337154e+003	(2.30832595196297e+001dB,7.43660317163970e+001°)
5.88843655355586e+003	(2.27793320387479e+001dB,7.20116818915220e+001°)
