Freq.	V(vhp1)
1.30016957803328e+003	(-3.44767567023091e+001dB,1.79228352974226e+002°)
1.30316677845229e+003	(-3.44363535824865e+001dB,1.79226619833050e+002°)
1.30617088813183e+003	(-3.43959485851812e+001dB,1.79224882282681e+002°)
1.30918192299940e+003	(-3.43555417015435e+001dB,1.79223140311710e+002°)
1.31219989901920e+003	(-3.43151329226862e+001dB,1.79221393908716e+002°)
1.31522483219223e+003	(-3.42747222396748e+001dB,1.79219643062213e+002°)
1.31825673855640e+003	(-3.42343096435350e+001dB,1.79217887760687e+002°)
1.32129563418657e+003	(-3.41938951252490e+001dB,1.79216127992590e+002°)
1.32434153519466e+003	(-3.41534786757542e+001dB,1.79214363746327e+002°)
1.32739445772973e+003	(-3.41130602859453e+001dB,1.79212595010260e+002°)
1.33045441797808e+003	(-3.40726399466746e+001dB,1.79210821772725e+002°)
1.33352143216332e+003	(-3.40322176487497e+001dB,1.79209044022000e+002°)
1.33659551654643e+003	(-3.39917933829324e+001dB,1.79207261746334e+002°)
1.33967668742593e+003	(-3.39513671399423e+001dB,1.79205474933930e+002°)
1.34276496113786e+003	(-3.39109389104533e+001dB,1.79203683572952e+002°)
1.34586035405594e+003	(-3.38705086850947e+001dB,1.79201887651527e+002°)
1.34896288259165e+003	(-3.38300764544506e+001dB,1.79200087157730e+002°)
1.35207256319427e+003	(-3.37896422090612e+001dB,1.79198282079609e+002°)
1.35518941235103e+003	(-3.37492059394188e+001dB,1.79196472405152e+002°)
1.35831344658715e+003	(-3.37087676359716e+001dB,1.79194658122325e+002°)
1.36144468246594e+003	(-3.36683272891216e+001dB,1.79192839219037e+002°)
1.36458313658892e+003	(-3.36278848892250e+001dB,1.79191015683167e+002°)
1.36772882559584e+003	(-3.35874404265907e+001dB,1.79189187502542e+002°)
1.37088176616484e+003	(-3.35469938914813e+001dB,1.79187354664949e+002°)
1.37404197501251e+003	(-3.35065452741123e+001dB,1.79185517158129e+002°)
1.37720946889394e+003	(-3.34660945646534e+001dB,1.79183674969792e+002°)
1.38038426460288e+003	(-3.34256417532252e+001dB,1.79181828087589e+002°)
1.38356637897177e+003	(-3.33851868299015e+001dB,1.79179976499136e+002°)
1.38675582887188e+003	(-3.33447297847080e+001dB,1.79178120192009e+002°)
1.38995263121334e+003	(-3.33042706076236e+001dB,1.79176259153732e+002°)
1.39315680294529e+003	(-3.32638092885767e+001dB,1.79174393371789e+002°)
1.39636836105593e+003	(-3.32233458174497e+001dB,1.79172522833620e+002°)
1.39958732257261e+003	(-3.31828801840736e+001dB,1.79170647526620e+002°)
1.40281370456195e+003	(-3.31424123782318e+001dB,1.79168767438141e+002°)
1.40604752412990e+003	(-3.31019423896589e+001dB,1.79166882555491e+002°)
1.40928879842186e+003	(-3.30614702080386e+001dB,1.79164992865917e+002°)
1.41253754462274e+003	(-3.30209958230063e+001dB,1.79163098356650e+002°)
1.41579377995707e+003	(-3.29805192241454e+001dB,1.79161199014852e+002°)
1.41905752168908e+003	(-3.29400404009914e+001dB,1.79159294827656e+002°)
1.42232878712281e+003	(-3.28995593430265e+001dB,1.79157385782123e+002°)
1.42560759360218e+003	(-3.28590760396858e+001dB,1.79155471865298e+002°)
1.42889395851109e+003	(-3.28185904803494e+001dB,1.79153553064162e+002°)
1.43218789927353e+003	(-3.27781026543490e+001dB,1.79151629365659e+002°)
1.43548943335364e+003	(-3.27376125509635e+001dB,1.79149700756679e+002°)
1.43879857825583e+003	(-3.26971201594186e+001dB,1.79147767224063e+002°)
1.44211535152486e+003	(-3.26566254688919e+001dB,1.79145828754611e+002°)
1.44543977074592e+003	(-3.26161284685046e+001dB,1.79143885335074e+002°)
1.44877185354475e+003	(-3.25756291473270e+001dB,1.79141936952163e+002°)
1.45211161758773e+003	(-3.25351274943763e+001dB,1.79139983592519e+002°)
1.45545908058195e+003	(-3.24946234986172e+001dB,1.79138025242760e+002°)
1.45881426027534e+003	(-3.24541171489602e+001dB,1.79136061889435e+002°)
1.46217717445671e+003	(-3.24136084342627e+001dB,1.79134093519064e+002°)
1.46554784095590e+003	(-3.23730973433270e+001dB,1.79132120118101e+002°)
1.46892627764385e+003	(-3.23325838649019e+001dB,1.79130141672960e+002°)
1.47231250243271e+003	(-3.22920679876831e+001dB,1.79128158170006e+002°)
1.47570653327588e+003	(-3.22515497003080e+001dB,1.79126169595546e+002°)
1.47910838816819e+003	(-3.22110289913630e+001dB,1.79124175935845e+002°)
1.48251808514594e+003	(-3.21705058493766e+001dB,1.79122177177124e+002°)
1.48593564228699e+003	(-3.21299802628208e+001dB,1.79120173305533e+002°)
1.48936107771090e+003	(-3.20894522201156e+001dB,1.79118164307199e+002°)
1.49279440957898e+003	(-3.20489217096209e+001dB,1.79116150168168e+002°)
1.49623565609442e+003	(-3.20083887196425e+001dB,1.79114130874463e+002°)
1.49968483550236e+003	(-3.19678532384275e+001dB,1.79112106412032e+002°)
1.50314196609001e+003	(-3.19273152541674e+001dB,1.79110076766791e+002°)
1.50660706618673e+003	(-3.18867747549970e+001dB,1.79108041924595e+002°)
1.51008015416413e+003	(-3.18462317289904e+001dB,1.79106001871243e+002°)
1.51356124843619e+003	(-3.18056861641678e+001dB,1.79103956592493e+002°)
1.51705036745932e+003	(-3.17651380484883e+001dB,1.79101906074040e+002°)
1.52054752973248e+003	(-3.17245873698530e+001dB,1.79099850301532e+002°)
1.52405275379728e+003	(-3.16840341161051e+001dB,1.79097789260558e+002°)
1.52756605823806e+003	(-3.16434782750277e+001dB,1.79095722936663e+002°)
1.53108746168201e+003	(-3.16029198343457e+001dB,1.79093651315328e+002°)
1.53461698279928e+003	(-3.15623587817221e+001dB,1.79091574381988e+002°)
1.53815464030302e+003	(-3.15217951047619e+001dB,1.79089492122022e+002°)
1.54170045294954e+003	(-3.14812287910089e+001dB,1.79087404520748e+002°)
1.54525443953840e+003	(-3.14406598279474e+001dB,1.79085311563442e+002°)
1.54881661891247e+003	(-3.14000882029984e+001dB,1.79083213235312e+002°)
1.55238700995807e+003	(-3.13595139035232e+001dB,1.79081109521519e+002°)
1.55596563160506e+003	(-3.13189369168227e+001dB,1.79079000407166e+002°)
1.55955250282694e+003	(-3.12783572301326e+001dB,1.79076885877300e+002°)
1.56314764264094e+003	(-3.12377748306299e+001dB,1.79074765916915e+002°)
1.56675107010813e+003	(-3.11971897054258e+001dB,1.79072640510941e+002°)
1.57036280433354e+003	(-3.11566018415720e+001dB,1.79070509644255e+002°)
1.57398286446620e+003	(-3.11160112260543e+001dB,1.79068373301682e+002°)
1.57761126969933e+003	(-3.10754178457967e+001dB,1.79066231467987e+002°)
1.58124803927037e+003	(-3.10348216876586e+001dB,1.79064084127876e+002°)
1.58489319246110e+003	(-3.09942227384341e+001dB,1.79061931265989e+002°)
1.58854674859776e+003	(-3.09536209848556e+001dB,1.79059772866929e+002°)
1.59220872705115e+003	(-3.09130164135881e+001dB,1.79057608915216e+002°)
1.59587914723672e+003	(-3.08724090112336e+001dB,1.79055439395336e+002°)
1.59955802861465e+003	(-3.08317987643261e+001dB,1.79053264291688e+002°)
1.60324539069002e+003	(-3.07911856593353e+001dB,1.79051083588636e+002°)
1.60694125301286e+003	(-3.07505696826663e+001dB,1.79048897270480e+002°)
1.61064563517825e+003	(-3.07099508206533e+001dB,1.79046705321442e+002°)
1.61435855682647e+003	(-3.06693290595684e+001dB,1.79044507725707e+002°)
1.61808003764305e+003	(-3.06287043856131e+001dB,1.79042304467386e+002°)
1.62181009735891e+003	(-3.05880767849241e+001dB,1.79040095530525e+002°)
1.62554875575047e+003	(-3.05474462435676e+001dB,1.79037880899131e+002°)
1.62929603263970e+003	(-3.05068127475437e+001dB,1.79035660557127e+002°)
1.63305194789432e+003	(-3.04661762827815e+001dB,1.79033434488385e+002°)
1.63681652142779e+003	(-3.04255368351439e+001dB,1.79031202676707e+002°)
1.64058977319952e+003	(-3.03848943904235e+001dB,1.79028965105835e+002°)
1.64437172321491e+003	(-3.03442489343413e+001dB,1.79026721759460e+002°)
1.64816239152549e+003	(-3.03036004525504e+001dB,1.79024472621191e+002°)
1.65196179822900e+003	(-3.02629489306341e+001dB,1.79022217674586e+002°)
1.65576996346951e+003	(-3.02222943541024e+001dB,1.79019956903139e+002°)
1.65958690743754e+003	(-3.01816367083972e+001dB,1.79017690290275e+002°)
1.66341265037015e+003	(-3.01409759788862e+001dB,1.79015417819357e+002°)
1.66724721255104e+003	(-3.01003121508664e+001dB,1.79013139473678e+002°)
1.67109061431069e+003	(-3.00596452095624e+001dB,1.79010855236471e+002°)
1.67494287602642e+003	(-3.00189751401268e+001dB,1.79008565090911e+002°)
1.67880401812254e+003	(-2.99783019276385e+001dB,1.79006269020089e+002°)
1.68267406107045e+003	(-2.99376255571032e+001dB,1.79003967007045e+002°)
1.68655302538872e+003	(-2.98969460134528e+001dB,1.79001659034743e+002°)
1.69044093164324e+003	(-2.98562632815454e+001dB,1.78999345086090e+002°)
1.69433780044731e+003	(-2.98155773461635e+001dB,1.78997025143913e+002°)
1.69824365246172e+003	(-2.97748881920170e+001dB,1.78994699190982e+002°)
1.70215850839493e+003	(-2.97341958037377e+001dB,1.78992367209998e+002°)
1.70608238900310e+003	(-2.96935001658838e+001dB,1.78990029183586e+002°)
1.71001531509027e+003	(-2.96528012629361e+001dB,1.78987685094310e+002°)
1.71395730750840e+003	(-2.96120990792993e+001dB,1.78985334924659e+002°)
1.71790838715757e+003	(-2.95713935993021e+001dB,1.78982978657058e+002°)
1.72186857498598e+003	(-2.95306848071939e+001dB,1.78980616273860e+002°)
1.72583789199018e+003	(-2.94899726871485e+001dB,1.78978247757341e+002°)
1.72981635921508e+003	(-2.94492572232610e+001dB,1.78975873089721e+002°)
1.73380399775412e+003	(-2.94085383995471e+001dB,1.78973492253141e+002°)
1.73780082874935e+003	(-2.93678161999439e+001dB,1.78971105229659e+002°)
1.74180687339159e+003	(-2.93270906083104e+001dB,1.78968712001286e+002°)
1.74582215292048e+003	(-2.92863616084236e+001dB,1.78966312549937e+002°)
1.74984668862463e+003	(-2.92456291839832e+001dB,1.78963906857473e+002°)
1.75388050184174e+003	(-2.92048933186060e+001dB,1.78961494905668e+002°)
1.75792361395867e+003	(-2.91641539958275e+001dB,1.78959076676226e+002°)
1.76197604641161e+003	(-2.91234111991044e+001dB,1.78956652150791e+002°)
1.76603782068614e+003	(-2.90826649118080e+001dB,1.78954221310909e+002°)
1.77010895831740e+003	(-2.90419151172310e+001dB,1.78951784138073e+002°)
1.77418948089014e+003	(-2.90011617985800e+001dB,1.78949340613684e+002°)
1.77827941003890e+003	(-2.89604049389815e+001dB,1.78946890719081e+002°)
1.78237876744807e+003	(-2.89196445214752e+001dB,1.78944434435520e+002°)
1.78648757485203e+003	(-2.88788805290200e+001dB,1.78941971744183e+002°)
1.79060585403527e+003	(-2.88381129444866e+001dB,1.78939502626171e+002°)
1.79473362683250e+003	(-2.87973417506650e+001dB,1.78937027062515e+002°)
1.79887091512876e+003	(-2.87565669302561e+001dB,1.78934545034164e+002°)
1.80301774085954e+003	(-2.87157884658767e+001dB,1.78932056521994e+002°)
1.80717412601090e+003	(-2.86750063400574e+001dB,1.78929561506791e+002°)
1.81134009261958e+003	(-2.86342205352415e+001dB,1.78927059969270e+002°)
1.81551566277311e+003	(-2.85934310337855e+001dB,1.78924551890077e+002°)
1.81970085860996e+003	(-2.85526378179577e+001dB,1.78922037249757e+002°)
1.82389570231961e+003	(-2.85118408699386e+001dB,1.78919516028790e+002°)
1.82810021614272e+003	(-2.84710401718203e+001dB,1.78916988207567e+002°)
1.83231442237119e+003	(-2.84302357056051e+001dB,1.78914453766408e+002°)
1.83653834334832e+003	(-2.83894274532060e+001dB,1.78911912685541e+002°)
1.84077200146893e+003	(-2.83486153964468e+001dB,1.78909364945116e+002°)
1.84501541917945e+003	(-2.83077995170602e+001dB,1.78906810525205e+002°)
1.84926861897805e+003	(-2.82669797966870e+001dB,1.78904249405788e+002°)
1.85353162341478e+003	(-2.82261562168776e+001dB,1.78901681566769e+002°)
1.85780445509167e+003	(-2.81853287590904e+001dB,1.78899106987965e+002°)
1.86208713666284e+003	(-2.81444974046909e+001dB,1.78896525649108e+002°)
1.86637969083464e+003	(-2.81036621349517e+001dB,1.78893937529848e+002°)
1.87068214036577e+003	(-2.80628229310527e+001dB,1.78891342609745e+002°)
