Freq.	V(n006)
1.14815362149688e+003	(-1.24106046959225e+002dB,1.75512053514606e+002°)
1.15080038894443e+003	(-1.23985274940566e+002dB,1.75501785438570e+002°)
1.15345325782109e+003	(-1.23864499341778e+002dB,1.75491492418635e+002°)
1.15611224219210e+003	(-1.23743720146124e+002dB,1.75481174392348e+002°)
1.15877735615512e+003	(-1.23622937336765e+002dB,1.75470831297414e+002°)
1.16144861384034e+003	(-1.23502150896797e+002dB,1.75460463071253e+002°)
1.16412602941049e+003	(-1.23381360809234e+002dB,1.75450069650991e+002°)
1.16680961706096e+003	(-1.23260567057007e+002dB,1.75439650973610e+002°)
1.16949939101987e+003	(-1.23139769622967e+002dB,1.75429206975988e+002°)
1.17219536554813e+003	(-1.23018968489889e+002dB,1.75418737594555e+002°)
1.17489755493953e+003	(-1.22898163640460e+002dB,1.75408242765978e+002°)
1.17760597352080e+003	(-1.22777355057290e+002dB,1.75397722426303e+002°)
1.18032063565173e+003	(-1.22656542722897e+002dB,1.75387176511717e+002°)
1.18304155572516e+003	(-1.22535726619737e+002dB,1.75376604957949e+002°)
1.18576874816716e+003	(-1.22414906730158e+002dB,1.75366007700694e+002°)
1.18850222743701e+003	(-1.22294083036444e+002dB,1.75355384675459e+002°)
1.19124200802737e+003	(-1.22173255520784e+002dB,1.75344735817386e+002°)
1.19398810446427e+003	(-1.22052424165286e+002dB,1.75334061061704e+002°)
1.19674053130724e+003	(-1.21931588951979e+002dB,1.75323360343143e+002°)
1.19949930314937e+003	(-1.21810749862797e+002dB,1.75312633596362e+002°)
1.20226443461741e+003	(-1.21689906879592e+002dB,1.75301880755956e+002°)
1.20503594037179e+003	(-1.21569059984136e+002dB,1.75291101756122e+002°)
1.20781383510678e+003	(-1.21448209158111e+002dB,1.75280296530909e+002°)
1.21059813355048e+003	(-1.21327354383108e+002dB,1.75269465014249e+002°)
1.21338885046497e+003	(-1.21206495640638e+002dB,1.75258607139791e+002°)
1.21618600064636e+003	(-1.21085632912114e+002dB,1.75247722840938e+002°)
1.21898959892486e+003	(-1.20964766178878e+002dB,1.75236812050998e+002°)
1.22179966016487e+003	(-1.20843895422164e+002dB,1.75225874703111e+002°)
1.22461619926504e+003	(-1.20723020623132e+002dB,1.75214910729992e+002°)
1.22743923115840e+003	(-1.20602141762850e+002dB,1.75203920064298e+002°)
1.23026877081238e+003	(-1.20481258822290e+002dB,1.75192902638553e+002°)
1.23310483322890e+003	(-1.20360371782336e+002dB,1.75181858384898e+002°)
1.23594743344450e+003	(-1.20239480623783e+002dB,1.75170787235432e+002°)
1.23879658653036e+003	(-1.20118585327340e+002dB,1.75159689121951e+002°)
1.24165230759241e+003	(-1.19997685873620e+002dB,1.75148563976011e+002°)
1.24451461177138e+003	(-1.19876782243138e+002dB,1.75137411729069e+002°)
1.24738351424294e+003	(-1.19755874416321e+002dB,1.75126232312227e+002°)
1.25025903021771e+003	(-1.19634962373511e+002dB,1.75115025656511e+002°)
1.25314117494141e+003	(-1.19514046094952e+002dB,1.75103791692671e+002°)
1.25602996369487e+003	(-1.19393125560783e+002dB,1.75092530351256e+002°)
1.25892541179416e+003	(-1.19272200751064e+002dB,1.75081241562529e+002°)
1.26182753459066e+003	(-1.19151271645759e+002dB,1.75069925256624e+002°)
1.26473634747115e+003	(-1.19030338224722e+002dB,1.75058581363480e+002°)
1.26765186585784e+003	(-1.18909400467733e+002dB,1.75047209812691e+002°)
1.27057410520854e+003	(-1.18788458354462e+002dB,1.75035810533740e+002°)
1.27350308101666e+003	(-1.18667511864482e+002dB,1.75024383455885e+002°)
1.27643880881134e+003	(-1.18546560977273e+002dB,1.75012928508171e+002°)
1.27938130415752e+003	(-1.18425605672219e+002dB,1.75001445619287e+002°)
1.28233058265601e+003	(-1.18304645928608e+002dB,1.74989934717842e+002°)
1.28528665994361e+003	(-1.18183681725622e+002dB,1.74978395732213e+002°)
1.28824955169313e+003	(-1.18062713042344e+002dB,1.74966828590491e+002°)
1.29121927361353e+003	(-1.17941739857768e+002dB,1.74955233220615e+002°)
1.29419584144998e+003	(-1.17820762150781e+002dB,1.74943609550172e+002°)
1.29717927098395e+003	(-1.17699779900169e+002dB,1.74931957506694e+002°)
