Freq.	V(vout)/V(vin)
1.48593564228699e+002	(7.94805878715457e+001dB,9.44587234329984e+001°)
1.48936107771090e+002	(7.94607744996711e+001dB,9.44425073757879e+001°)
1.49279440957898e+002	(7.94409601391051e+001dB,9.44263140690256e+001°)
1.49623565609442e+002	(7.94211447936576e+001dB,9.44101434324983e+001°)
1.49968483550236e+002	(7.94013284671187e+001dB,9.43939953860761e+001°)
1.50314196609001e+002	(7.93815111632587e+001dB,9.43778698497123e+001°)
1.50660706618673e+002	(7.93616928858285e+001dB,9.43617667434432e+001°)
1.51008015416413e+002	(7.93418736385594e+001dB,9.43456859873879e+001°)
1.51356124843619e+002	(7.93220534251632e+001dB,9.43296275017484e+001°)
1.51705036745932e+002	(7.93022322493325e+001dB,9.43135912068089e+001°)
1.52054752973248e+002	(7.92824101147403e+001dB,9.42975770229361e+001°)
1.52405275379728e+002	(7.92625870250407e+001dB,9.42815848705788e+001°)
1.52756605823806e+002	(7.92427629838682e+001dB,9.42656146702678e+001°)
1.53108746168202e+002	(7.92229379948387e+001dB,9.42496663426156e+001°)
1.53461698279928e+002	(7.92031120615487e+001dB,9.42337398083163e+001°)
1.53815464030302e+002	(7.91832851875757e+001dB,9.42178349881455e+001°)
1.54170045294954e+002	(7.91634573764785e+001dB,9.42019518029600e+001°)
1.54525443953840e+002	(7.91436286317970e+001dB,9.41860901736976e+001°)
1.54881661891247e+002	(7.91237989570523e+001dB,9.41702500213771e+001°)
1.55238700995807e+002	(7.91039683557466e+001dB,9.41544312670979e+001°)
1.55596563160506e+002	(7.90841368313638e+001dB,9.41386338320398e+001°)
1.55955250282694e+002	(7.90643043873690e+001dB,9.41228576374630e+001°)
1.56314764264094e+002	(7.90444710272089e+001dB,9.41071026047079e+001°)
1.56675107010813e+002	(7.90246367543115e+001dB,9.40913686551945e+001°)
1.57036280433354e+002	(7.90048015720867e+001dB,9.40756557104230e+001°)
1.57398286446620e+002	(7.89849654839260e+001dB,9.40599636919728e+001°)
1.57761126969933e+002	(7.89651284932026e+001dB,9.40442925215027e+001°)
1.58124803927037e+002	(7.89452906032715e+001dB,9.40286421207507e+001°)
1.58489319246110e+002	(7.89254518174695e+001dB,9.40130124115337e+001°)
1.58854674859776e+002	(7.89056121391154e+001dB,9.39974033157475e+001°)
1.59220872705115e+002	(7.88857715715101e+001dB,9.39818147553663e+001°)
1.59587914723672e+002	(7.88659301179363e+001dB,9.39662466524428e+001°)
1.59955802861465e+002	(7.88460877816591e+001dB,9.39506989291076e+001°)
1.60324539069002e+002	(7.88262445659255e+001dB,9.39351715075697e+001°)
1.60694125301286e+002	(7.88064004739650e+001dB,9.39196643101154e+001°)
