Freq.	V(vout)/V(vin)
1.00000000000000e+002	(7.79412380441296e+001dB,9.85425420382498e+001°)
1.00230523807790e+002	(7.79216784476893e+001dB,9.85231796182266e+001°)
1.00461579027840e+002	(7.79021168721354e+001dB,9.85038597666283e+001°)
1.00693166885180e+002	(7.78825533261633e+001dB,9.84845823985912e+001°)
1.00925288607668e+002	(7.78629878184321e+001dB,9.84653474293606e+001°)
1.01157945425990e+002	(7.78434203575643e+001dB,9.84461547742920e+001°)
1.01391138573668e+002	(7.78238509521466e+001dB,9.84270043488509e+001°)
1.01624869287070e+002	(7.78042796107296e+001dB,9.84078960686134e+001°)
1.01859138805412e+002	(7.77847063418277e+001dB,9.83888298492661e+001°)
1.02093948370768e+002	(7.77651311539200e+001dB,9.83698056066068e+001°)
1.02329299228075e+002	(7.77455540554497e+001dB,9.83508232565443e+001°)
1.02565192625141e+002	(7.77259750548247e+001dB,9.83318827150992e+001°)
1.02801629812647e+002	(7.77063941604175e+001dB,9.83129838984037e+001°)
1.03038612044162e+002	(7.76868113805652e+001dB,9.82941267227020e+001°)
1.03276140576140e+002	(7.76672267235702e+001dB,9.82753111043508e+001°)
1.03514216667934e+002	(7.76476401976996e+001dB,9.82565369598192e+001°)
1.03752841581801e+002	(7.76280518111859e+001dB,9.82378042056891e+001°)
1.03992016582906e+002	(7.76084615722270e+001dB,9.82191127586555e+001°)
1.04231742939330e+002	(7.75888694889859e+001dB,9.82004625355265e+001°)
1.04472021922080e+002	(7.75692755695915e+001dB,9.81818534532241e+001°)
1.04712854805090e+002	(7.75496798221384e+001dB,9.81632854287835e+001°)
1.04954242865232e+002	(7.75300822546869e+001dB,9.81447583793544e+001°)
1.05196187382322e+002	(7.75104828752634e+001dB,9.81262722222004e+001°)
1.05438689639126e+002	(7.74908816918603e+001dB,9.81078268746996e+001°)
1.05681750921366e+002	(7.74712787124363e+001dB,9.80894222543448e+001°)
1.05925372517729e+002	(7.74516739449166e+001dB,9.80710582787436e+001°)
1.06169555719872e+002	(7.74320673971926e+001dB,9.80527348656187e+001°)
1.06414301822431e+002	(7.74124590771226e+001dB,9.80344519328080e+001°)
1.06659612123026e+002	(7.73928489925315e+001dB,9.80162093982651e+001°)
1.06905487922266e+002	(7.73732371512112e+001dB,9.79980071800590e+001°)
1.07151930523760e+002	(7.73536235609203e+001dB,9.79798451963749e+001°)
1.07398941234124e+002	(7.73340082293850e+001dB,9.79617233655138e+001°)
1.07646521362983e+002	(7.73143911642984e+001dB,9.79436416058933e+001°)
1.07894672222983e+002	(7.72947723733212e+001dB,9.79255998360472e+001°)
1.08143395129794e+002	(7.72751518640815e+001dB,9.79075979746260e+001°)
1.08392691402120e+002	(7.72555296441750e+001dB,9.78896359403971e+001°)
1.08642562361706e+002	(7.72359057211653e+001dB,9.78717136522449e+001°)
1.08893009333343e+002	(7.72162801025837e+001dB,9.78538310291712e+001°)
1.09144033644875e+002	(7.71966527959298e+001dB,9.78359879902947e+001°)
1.09395636627209e+002	(7.71770238086711e+001dB,9.78181844548521e+001°)
1.09647819614318e+002	(7.71573931482433e+001dB,9.78004203421976e+001°)
1.09900583943252e+002	(7.71377608220508e+001dB,9.77826955718033e+001°)
1.10153930954141e+002	(7.71181268374662e+001dB,9.77650100632593e+001°)
1.10407861990207e+002	(7.70984912018310e+001dB,9.77473637362740e+001°)
1.10662378397766e+002	(7.70788539224550e+001dB,9.77297565106740e+001°)
1.10917481526240e+002	(7.70592150066175e+001dB,9.77121883064046e+001°)
1.11173172728159e+002	(7.70395744615662e+001dB,9.76946590435297e+001°)
1.11429453359173e+002	(7.70199322945184e+001dB,9.76771686422318e+001°)
1.11686324778056e+002	(7.70002885126603e+001dB,9.76597170228125e+001°)
1.11943788346715e+002	(7.69806431231475e+001dB,9.76423041056925e+001°)
1.12201845430196e+002	(7.69609961331053e+001dB,9.76249298114118e+001°)
1.12460497396692e+002	(7.69413475496283e+001dB,9.76075940606295e+001°)
1.12719745617551e+002	(7.69216973797811e+001dB,9.75902967741245e+001°)
1.12979591467279e+002	(7.69020456305980e+001dB,9.75730378727951e+001°)
1.13240036323555e+002	(7.68823923090831e+001dB,9.75558172776594e+001°)
1.13501081567231e+002	(7.68627374222108e+001dB,9.75386349098554e+001°)
1.13762728582343e+002	(7.68430809769255e+001dB,9.75214906906411e+001°)
1.14024978756117e+002	(7.68234229801422e+001dB,9.75043845413947e+001°)
1.14287833478977e+002	(7.68037634387460e+001dB,9.74873163836143e+001°)
1.14551294144553e+002	(7.67841023595927e+001dB,9.74702861389188e+001°)
1.14815362149688e+002	(7.67644397495088e+001dB,9.74532937290472e+001°)
1.15080038894443e+002	(7.67447756152913e+001dB,9.74363390758593e+001°)
1.15345325782109e+002	(7.67251099637084e+001dB,9.74194221013353e+001°)
1.15611224219209e+002	(7.67054428014993e+001dB,9.74025427275764e+001°)
1.15877735615512e+002	(7.66857741353740e+001dB,9.73857008768046e+001°)
1.16144861384034e+002	(7.66661039720140e+001dB,9.73688964713628e+001°)
1.16412602941049e+002	(7.66464323180720e+001dB,9.73521294337152e+001°)
1.16680961706096e+002	(7.66267591801724e+001dB,9.73353996864468e+001°)
1.16949939101987e+002	(7.66070845649109e+001dB,9.73187071522642e+001°)
1.17219536554813e+002	(7.65874084788550e+001dB,9.73020517539950e+001°)
