Freq.	V(vout)/V(vin)
1.00000000000000e+002	(8.02067805521278e+001dB,9.81748828868828e+001°)
1.00230523807790e+002	(8.01872188047132e+001dB,9.81546730244308e+001°)
1.00461579027840e+002	(8.01676550682576e+001dB,9.81345037775365e+001°)
1.00693166885180e+002	(8.01480893514105e+001dB,9.81143750568389e+001°)
1.00925288607668e+002	(8.01285216627850e+001dB,9.80942867730762e+001°)
1.01157945425990e+002	(8.01089520109575e+001dB,9.80742388370861e+001°)
1.01391138573668e+002	(8.00893804044681e+001dB,9.80542311598059e+001°)
1.01624869287070e+002	(8.00698068518206e+001dB,9.80342636522732e+001°)
1.01859138805412e+002	(8.00502313614829e+001dB,9.80143362256257e+001°)
1.02093948370768e+002	(8.00306539418867e+001dB,9.79944487911017e+001°)
1.02329299228075e+002	(8.00110746014280e+001dB,9.79746012600403e+001°)
1.02565192625141e+002	(7.99914933484672e+001dB,9.79547935438815e+001°)
1.02801629812647e+002	(7.99719101913289e+001dB,9.79350255541667e+001°)
1.03038612044162e+002	(7.99523251383024e+001dB,9.79152972025387e+001°)
1.03276140576140e+002	(7.99327381976417e+001dB,9.78956084007421e+001°)
1.03514216667934e+002	(7.99131493775658e+001dB,9.78759590606234e+001°)
1.03752841581801e+002	(7.98935586862583e+001dB,9.78563490941312e+001°)
1.03992016582906e+002	(7.98739661318682e+001dB,9.78367784133167e+001°)
1.04231742939330e+002	(7.98543717225097e+001dB,9.78172469303336e+001°)
1.04472021922080e+002	(7.98347754662621e+001dB,9.77977545574383e+001°)
1.04712854805090e+002	(7.98151773711706e+001dB,9.77783012069903e+001°)
1.04954242865232e+002	(7.97955774452457e+001dB,9.77588867914524e+001°)
1.05196187382322e+002	(7.97759756964638e+001dB,9.77395112233910e+001°)
1.05438689639126e+002	(7.97563721327671e+001dB,9.77201744154757e+001°)
1.05681750921366e+002	(7.97367667620638e+001dB,9.77008762804803e+001°)
1.05925372517729e+002	(7.97171595922283e+001dB,9.76816167312825e+001°)
1.06169555719872e+002	(7.96975506311013e+001dB,9.76623956808641e+001°)
1.06414301822431e+002	(7.96779398864897e+001dB,9.76432130423116e+001°)
1.06659612123026e+002	(7.96583273661672e+001dB,9.76240687288157e+001°)
1.06905487922266e+002	(7.96387130778738e+001dB,9.76049626536720e+001°)
1.07151930523760e+002	(7.96190970293166e+001dB,9.75858947302813e+001°)
1.07398941234124e+002	(7.95994792281693e+001dB,9.75668648721490e+001°)
1.07646521362983e+002	(7.95798596820730e+001dB,9.75478729928862e+001°)
1.07894672222983e+002	(7.95602383986355e+001dB,9.75289190062091e+001°)
1.08143395129794e+002	(7.95406153854321e+001dB,9.75100028259399e+001°)
1.08392691402120e+002	(7.95209906500056e+001dB,9.74911243660060e+001°)
1.08642562361706e+002	(7.95013641998662e+001dB,9.74722835404411e+001°)
1.08893009333343e+002	(7.94817360424916e+001dB,9.74534802633850e+001°)
1.09144033644875e+002	(7.94621061853275e+001dB,9.74347144490835e+001°)
1.09395636627209e+002	(7.94424746357874e+001dB,9.74159860118887e+001°)
1.09647819614318e+002	(7.94228414012528e+001dB,9.73972948662594e+001°)
1.09900583943252e+002	(7.94032064890733e+001dB,9.73786409267610e+001°)
1.10153930954141e+002	(7.93835699065668e+001dB,9.73600241080654e+001°)
