Freq.	V(vout)/V(vin)
1.00000000000000e+002	(8.37080146135431e+001dB,9.83558460600594e+001°)
1.00230523807790e+002	(8.36884540814774e+001dB,9.83360532990101e+001°)
1.00461579027840e+002	(8.36688915659799e+001dB,9.83163021146083e+001°)
1.00693166885180e+002	(8.36493270757259e+001dB,9.82965924197056e+001°)
1.00925288607668e+002	(8.36297606193544e+001dB,9.82769241272578e+001°)
1.01157945425990e+002	(8.36101922054681e+001dB,9.82572971503251e+001°)
1.01391138573668e+002	(8.35906218426332e+001dB,9.82377114020730e+001°)
1.01624869287070e+002	(8.35710495393800e+001dB,9.82181667957719e+001°)
1.01859138805412e+002	(8.35514753042027e+001dB,9.81986632447976e+001°)
1.02093948370768e+002	(8.35318991455598e+001dB,9.81792006626316e+001°)
1.02329299228075e+002	(8.35123210718740e+001dB,9.81597789628613e+001°)
1.02565192625141e+002	(8.34927410915324e+001dB,9.81403980591805e+001°)
1.02801629812647e+002	(8.34731592128867e+001dB,9.81210578653891e+001°)
1.03038612044162e+002	(8.34535754442534e+001dB,9.81017582953938e+001°)
1.03276140576140e+002	(8.34339897939136e+001dB,9.80824992632084e+001°)
1.03514216667934e+002	(8.34144022701136e+001dB,9.80632806829535e+001°)
1.03752841581801e+002	(8.33948128810646e+001dB,9.80441024688576e+001°)
1.03992016582906e+002	(8.33752216349431e+001dB,9.80249645352562e+001°)
1.04231742939330e+002	(8.33556285398912e+001dB,9.80058667965932e+001°)
1.04472021922080e+002	(8.33360336040159e+001dB,9.79868091674203e+001°)
1.04712854805090e+002	(8.33164368353904e+001dB,9.79677915623976e+001°)
1.04954242865232e+002	(8.32968382420535e+001dB,9.79488138962936e+001°)
1.05196187382322e+002	(8.32772378320096e+001dB,9.79298760839856e+001°)
1.05438689639126e+002	(8.32576356132294e+001dB,9.79109780404599e+001°)
1.05681750921366e+002	(8.32380315936496e+001dB,9.78921196808118e+001°)
1.05925372517729e+002	(8.32184257811733e+001dB,9.78733009202462e+001°)
1.06169555719872e+002	(8.31988181836699e+001dB,9.78545216740773e+001°)
1.06414301822431e+002	(8.31792088089753e+001dB,9.78357818577291e+001°)
1.06659612123026e+002	(8.31595976648921e+001dB,9.78170813867356e+001°)
1.06905487922266e+002	(8.31399847591896e+001dB,9.77984201767409e+001°)
1.07151930523760e+002	(8.31203700996041e+001dB,9.77797981434995e+001°)
1.07398941234124e+002	(8.31007536938389e+001dB,9.77612152028763e+001°)
1.07646521362983e+002	(8.30811355495644e+001dB,9.77426712708469e+001°)
1.07894672222983e+002	(8.30615156744185e+001dB,9.77241662634977e+001°)
