#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35F97
#Date Time: 2019-11-16 15:25:53.719
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 1001
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43833 V
#Offset: -5.25147e-05 V
#Relative: no
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB)
881.0488730080148,-43.4177330593192
887.1560120379617,-47.67260843277617
893.3054837332954,-47.62902941709761
899.4975815300364,-46.13885641668058
905.7326008982008,-54.49607222648176
912.0108393559105,-47.27488020678056
918.3325964835811,-49.25313344854153
924.6981739382239,-47.21306558200883
931.107875467831,-43.82688022738143
937.5620069258812,-44.31004232081144
944.0608762859235,-47.29670605373315
950.6047936562829,-45.42057344760362
957.1940712948451,-42.69767817204222
963.8290236239715,-41.79620123871444
970.5099672454899,-44.90939487308727
977.2372209558122,-44.56108452447511
984.0111057611344,-42.71844348217997
990.8319448927685,-44.60826695844027
997.7000638225536,-39.15385645057259
1004.615790278396,-40.75898738172778
1011.579454259899,-39.66303743709635
1018.591388054118,-40.39159533904568
1025.651926251408,-36.90785798868272
1032.761405761398,-42.9190183524204
1039.92016582906,-38.03894240281786
1047.128548050901,-36.46081812315752
1054.386896391259,-38.77094970722923
1061.695557198726,-39.35543127550127
1069.054879222658,-36.92741122704864
1076.465213629835,-38.53779431049978
1083.926914021204,-37.54609423943602
1091.440336448757,-37.24595526392143
1099.005839432521,-36.69909140669725
1106.623783977667,-35.50066079500112
1114.29453359173,-36.48755261841974
1122.018454301964,-33.95732504424799
1129.795914672798,-34.98536488472101
1137.627285823432,-34.72650966596571
1145.512941445536,-32.06448448446196
1153.453257821093,-35.56783488624839
1161.448613840343,-35.7427058811468
1169.499391019872,-32.73565637191786
1177.605973520808,-33.52716836914591
1185.768748167161,-32.34230196624943
1193.988104464274,-34.34510122124211
1202.264434617414,-31.80156612081738
1210.598133550483,-32.64332881127426
1218.989598924867,-30.47399136854477
1227.439231158408,-30.81017523427662
1235.947433444511,-30.82158197995939
1244.514611771386,-30.7149421244519
1253.141174941417,-31.43822449712835
1261.827534590671,-29.01250691111955
1270.574105208543,-29.8817644726724
1279.381304157525,-29.50474993675531
1288.249551693135,-28.39939462590834
1297.179270983956,-28.59252724880267
1306.170888131843,-27.49478052347377
1315.224832192239,-26.56394341242842
1324.341535194666,-25.7903645318437
1333.521432163325,-25.21098043153206
1342.764961137865,-25.94781169089596
1352.072563194278,-25.6205358800526
1361.444682465951,-25.03292952925922
1370.881766164854,-24.77399542057547
1380.384264602886,-23.77109704167355
1389.952631213354,-25.21596476990104
1399.587322572619,-24.09265091869092
1409.288798421876,-23.10084214709386
1419.057521689093,-22.0213557615137
1428.893958511104,-21.82759637390589
1438.798578255847,-21.42245411294022
1448.771853544762,-20.80524166957218
1458.81426027535,-19.82630596378723
1468.926277643868,-20.24445848485865
1479.108388168209,-19.0577612638272
1489.361077710916,-18.14383636586476
1499.684835502375,-18.77080672831057
1510.080154164149,-18.62976794503486
1520.547529732497,-17.70864599808904
1531.087461682031,-16.90618265519245
1541.700452949561,-16.64133389220403
1552.387009958083,-16.82006405231039
1563.147642640956,-15.28695770587768
1573.982864466221,-14.39680959026787
1584.893192461115,-14.55149918551458
1595.879147236734,-14.37324585563818
1606.941253012879,-13.73596581211135
1618.080037643067,-13.0422786967241
1629.296032639724,-12.86945728295021
1640.58977319954,-11.68042875152273
1651.961798229017,-11.73962150768289
1663.412650370171,-11.17699659127274
1674.942876026437,-10.82676711358849
1686.553025388743,-10.12096563010685
1698.243652461744,-9.673230676191643
1710.015315090289,-9.104121880650521
1721.868574986007,-8.749365347765213
1733.803997754139,-7.725465019157964
1745.822152920504,-7.751121412596018
1757.923613958694,-6.994918266878383
1770.108958317421,-6.581216158290185
1782.378767448091,-6.210333785262097
1794.733626832527,-5.090602520749892
