Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
218.2729912,0.021521888,-73.7364973,-0.186585817
219.7859873,0.021655847,-73.99324488,41.24594274
221.309471,0.020359725,-68.88908292,8.48539686
222.8435149,0.021824012,-68.056816,-34.12383885
224.3881924,0.020947156,-69.27014257,-18.39351726
225.943577,0.02211018,-71.15206078,-2.483278183
227.5097431,0.022713633,-71.55042051,16.69784082
229.0867653,0.024342504,-64.59980497,6.806003884
230.6747189,0.020337093,-66.6428122,-17.37660082
232.2736796,0.021227417,-73.29279365,4.111119632
233.8837239,0.022852233,-70.56600353,3.760177644
235.5049284,0.024040969,-63.94156338,-0.45861991
237.1373706,0.023794538,-65.84399421,-2.161582334
238.7811283,0.022900774,-67.9293069,-12.27314966
240.43628,0.022384114,-67.14903066,-19.52170263
242.1029047,0.020065199,-77.09338028,-28.37106549
243.7810818,0.020078055,-69.26028013,2.234066787
245.4708916,0.022600298,-66.91747368,-3.14157499
247.1724145,0.020349273,-70.12004185,26.97386766
248.8857318,0.021842714,-73.94002,20.87838865
250.6109253,0.022584535,-69.05936101,-16.0683334
252.3480772,0.023174535,-70.09398386,0.255680273
254.0972706,0.020949165,-74.47334324,-6.412759967
255.8585887,0.022443818,-69.20112064,-8.487490769
257.6321157,0.021260707,-68.82381535,6.097897778
259.4179362,0.020380818,-72.31139395,-25.37120149
261.2161354,0.020753184,-72.58102254,-25.33042139
263.0267992,0.021302031,-68.88680506,-8.133064694
264.8500139,0.021896765,-72.98251048,18.35393211
266.6858665,0.026382536,-67.36559872,0.852098791
268.5344446,0.019592631,-70.50958749,-30.19901651
270.3958364,0.022505879,-67.89299558,8.086342954
272.2701308,0.020940925,-63.43782517,-17.9272157
274.1574172,0.020145367,-68.20299843,-23.72966999
276.0577856,0.022339528,-74.35446349,10.38147003
277.9713268,0.025559823,-67.87679456,28.12869456
279.898132,0.02166777,-67.44122022,-27.18413817
281.8382931,0.022427567,-66.60171412,-26.3939742
283.7919028,0.023539707,-69.82264679,-34.51796994
285.7590543,0.020982382,-69.44592812,-9.936078848
287.7398415,0.024414976,-65.1427509,0.943431126
289.7343588,0.022806492,-65.4556725,-18.43821942
291.7427014,0.021128945,-74.52279186,12.70715316
293.7649652,0.02117424,-71.36958112,23.42212066
295.8012467,0.022785629,-66.62910003,17.86258997
