#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35F97
#Date Time: 2019-11-16 15:28:46.789
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 1001
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43833 V
#Offset: -5.25147e-05 V
#Relative: no
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB)
100.0000000000001,-100.0619663944593
100.6931668851805,-89.43036173498834
101.391138573668,-102.8310971393999
102.0939483707681,-96.69657003715619
102.8016298126474,-89.67419626079526
103.5142166679345,-91.00612188087322
104.2317429393305,-98.54531079077249
104.9542428652323,-91.74806172255104
105.681750921366,-95.35785401691444
106.4143018224318,-92.18515333615451
107.1519305237607,-91.69003224360664
107.894672222983,-92.66705225852975
108.6425623617067,-85.69970291134219
109.3956366272095,-87.23663989105106
110.1539309541416,-113.8645696272635
110.9174815262402,-89.51218072375255
111.6863247780562,-85.57111072688025
112.4604973966928,-97.9958566862951
113.2400363235558,-93.47028003956751
114.024978756117,-86.43108195374764
114.8153621496884,-99.03547598990833
115.6112242192101,-89.17776107727138
116.4126029410492,-92.9479812426829
117.2195365548131,-97.64359241802592
118.0320635651731,-91.89803779787565
118.850222743702,-96.9970363908301
119.6740531307244,-88.97892760602599
120.5035940371799,-85.42257448915285
121.3388850464979,-89.84207408287638
122.1799660164873,-92.36970276350077
123.0268770812382,-93.87137922481
123.879658653037,-100.2145354750953
124.7383514242945,-103.0105718687792
125.6029963694877,-88.79690848167263
126.4736347471152,-85.18493848969699
127.3503081016663,-85.84230648715564
128.2330582656023,-90.0542446822425
129.1219273613536,-91.18409714797531
130.0169578033291,-93.42729883598763
130.9181922999408,-84.85365107023704
131.8256738556409,-83.63047169761748
132.7394457729741,-87.41048359961752
133.6595516546443,-90.58953535907349
134.586035405595,-91.04455682943353
135.5189412351038,-90.7544980700807
136.4583136588927,-83.91236274683027
137.4041975012516,-88.93607360068366
138.3566378971782,-89.89336479505846
139.3156802945305,-88.83646097436744
140.281370456196,-82.01857043118244
141.2537544622755,-92.47044320122504
142.2328787122821,-85.3072542536804
143.2187899273545,-87.01081515347144
144.2115351524871,-88.02186420208974
145.2111617587744,-86.08870114036564
146.217717445672,-94.62119460991244
147.2312502432721,-88.84256941756107
148.2518085145956,-100.1737992347882
149.2794409578997,-89.53970443873827
150.3141966090022,-88.7029224462689
151.356124843621,-88.44125260028279
152.4052753797292,-86.36453361378767
153.4616982799296,-85.55992326892495
154.5254439538414,-85.82534872650356
155.5965631605077,-81.28380285021377
156.675107010815,-86.23498429006426
157.761126969935,-86.2205337773141
158.8546748597779,-90.89010146194531
159.9558028614671,-86.22290573718138
161.0645635178271,-86.49830844189469
162.1810097358932,-90.35959280807106
163.3051947894335,-84.24407765811166
164.4371723214932,-99.57633339297159
165.5769963469529,-82.77913464916126
166.7247212551064,-85.06794102143937
167.8804018122561,-84.693308546883
169.0440931643265,-86.19657369297563
170.2158508394952,-88.03585484145717
171.3957307508427,-86.69266252684466
172.5837891990204,-87.62322917446156
173.7800828749376,-86.33164939852806
174.9846688624658,-94.26607633787272
176.1976046411631,-88.8281070128709
177.4189480890166,-97.06615939815798
178.6487574852052,-86.47244017229912
179.8870915128789,-96.53244809018447
181.1340092619604,-89.40854560363393
182.3895702319639,-91.42603396055333
183.6538343348347,-90.52046201776429
184.926861897808,-88.32762251992054
186.2087136662869,-94.01317709249969
187.4994508067419,-88.74043931566911
188.7991349096295,-91.32933550362353
190.1078279923302,-86.05810066410928
191.4255925021088,-94.10302032707912
192.7524913190937,-84.58179492745867
194.0885877592779,-84.31575931494976
195.4339455775396,-90.05353277719443
196.7886289706847,-90.92693142903271
198.1527025805099,-90.48372189559571
199.5262314968881,-89.33749578183765
200.909281260873,-87.34955747375302
202.3019178678274,-85.76431142627938
203.7042077705719,-88.78173402695502
205.1162178825567,-110.3610008871585
206.5380155810531,-88.47993792982442
207.9696687103698,-90.03740561156482
209.4112455850893,-107.7204968413736
210.8628149933291,-85.20560797479689
212.3244462000221,-86.62969899925848
213.7962089502235,-97.57489571631976
215.2781734724374,-87.35940177282649
216.7704104819696,-90.83046945979079
218.2729911843003,-94.97693603143972
219.7859872784827,-93.13027780295378
221.3094709605639,-86.64013853510228
222.8435149270305,-93.84241160831061
224.3881923782768,-96.96790468854657
225.9435770220981,-99.86048316855701
227.5097430772071,-86.1586563643996
229.0867652767774,-108.5488856285424
230.6747188720071,-89.38753865179889
232.273679635711,-90.09505718207723
233.8837238659356,-90.916965254072
235.5049283896011,-91.23826276142171
237.1373705661657,-81.32429461493561
238.7811282913181,-102.7091697436126
240.4362800006934,-90.97947348052259
242.102904673618,-86.22723019466085
243.7810818368755,-91.77972352786655
245.4708915685034,-100.4405533278507
247.1724145016132,-89.52249039963051
248.8857318282393,-99.13136244805321
250.6109253032116,-85.45227761809838
252.3480772480578,-93.39939773321836
254.0972705549306,-92.00112083154208
255.8585886905648,-92.3206530421599
257.6321157002578,-88.97689092370635
259.4179362118818,-91.30331595591977
261.2161354399208,-104.9402829485421
263.0267991895385,-84.1601023450271
264.8500138606703,-86.55842686680474
266.6858664521483,-89.85001108157719
268.5344445658509,-87.72706027869313
270.3958364108846,-88.97574107116111
272.2701308077915,-87.84858590118233
274.1574171927887,-88.0634321930569
276.0577856220347,-84.06394443040335
277.9713267759291,-90.14206125373789
279.8981319634366,-85.23367971820181
281.8382931264458,-85.42824503145073
283.7919028441558,-89.7856583661702
285.7590543374949,-87.83152334547658
287.7398414735673,-102.1769018639517
289.7343587701328,-89.00380526879685
291.7427014001169,-88.42183107940238
293.7649651961534,-89.07839181270241
295.801246655155,-93.63870116765688
297.8516429429194,-94.94606793074379
299.9162518987653,-82.91933194039336
301.9951720402019,-89.15636583142305
304.0885025676283,-85.60096097094288
306.1963433690682,-90.75403974438848
308.3187950249356,-96.12229988603886
310.4559588128359,-93.15882404908163
312.6079367123959,-85.93826451895451
314.774831410132,-81.3242481152737
316.9567463043493,-86.60863572868961
319.1537855100765,-92.27199988633147
321.3660538640322,-87.99572871514403
323.5936569296288,-88.10515962994504
325.836701002009,-90.40626878161946
328.0952931131191,-84.27019017654811
