#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35F97
#Date Time: 2019-11-16 15:30:08.994
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 1001
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43833 V
#Offset: -5.25147e-05 V
#Relative: no
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB)
138.3566378971782,-97.52252908256686
139.3156802945305,-87.65387170530477
140.281370456196,-99.35852224754098
141.2537544622755,-89.11471330024098
142.2328787122821,-93.57976691451769
143.2187899273545,-89.39138186378227
144.2115351524871,-88.61207088813242
145.2111617587744,-92.59864290306021
146.217717445672,-96.93601244792339
147.2312502432721,-91.97058778921642
148.2518085145956,-93.5208631626945
149.2794409578997,-93.16727602971154
150.3141966090022,-92.24252517971664
151.356124843621,-93.02513619420816
152.4052753797292,-99.38512353470033
153.4616982799296,-101.4550251584068
154.5254439538414,-95.12505337485126
155.5965631605077,-88.45118082436343
156.675107010815,-95.7555345126078
157.761126969935,-89.23123927188287
158.8546748597779,-97.49365256746847
159.9558028614671,-93.39148558653625
161.0645635178271,-91.99842804902065
162.1810097358932,-98.18347764510564
163.3051947894335,-89.53750756198784
164.4371723214932,-96.16403151763637
165.5769963469529,-89.95531409935339
166.7247212551064,-94.67933373608136
167.8804018122561,-102.7012765578739
169.0440931643265,-95.26235624972239
170.2158508394952,-90.50959319233131
171.3957307508427,-93.59417950076624
172.5837891990204,-96.69829585640994
173.7800828749376,-110.9630170477718
174.9846688624658,-99.0930204766566
176.1976046411631,-92.7659159564511
177.4189480890166,-91.6687951776656
178.6487574852052,-99.61474609653206
179.8870915128789,-106.0090425826275
181.1340092619604,-93.2273815569777
182.3895702319639,-97.03927368709229
183.6538343348347,-92.34286978292523
184.926861897808,-97.41806762527582
186.2087136662869,-92.11483833285658
187.4994508067419,-96.03934866994999
188.7991349096295,-98.05775372412631
190.1078279923302,-100.8707726862365
191.4255925021088,-95.17014828534337
192.7524913190937,-93.00621866445252
194.0885877592779,-95.67419767722041
195.4339455775396,-103.3046149471994
196.7886289706847,-89.54609446434876
198.1527025805099,-91.49365555313534
199.5262314968881,-98.32336859059551
200.909281260873,-99.38401140246569
202.3019178678274,-94.44580185152853
203.7042077705719,-101.2585809795526
205.1162178825567,-103.05412574643
206.5380155810531,-92.57448675125219
207.9696687103698,-98.98926347521255
209.4112455850893,-94.29395902093279
210.8628149933291,-92.34346194374362
212.3244462000221,-91.29106843131112
213.7962089502235,-91.72223146212241
215.2781734724374,-104.2051064324408
216.7704104819696,-93.70977246000152
218.2729911843003,-102.44688425469
219.7859872784827,-90.35253225286377
221.3094709605639,-96.51534154061184
222.8435149270305,-94.04158112092719
224.3881923782768,-109.8148722262536
225.9435770220981,-94.64143897604897
227.5097430772071,-91.47043638378008
229.0867652767774,-99.81343141493964
230.6747188720071,-94.84002734845616
232.273679635711,-94.52956687891782
233.8837238659356,-94.09684057193174
235.5049283896011,-96.36094706844995
237.1373705661657,-99.79104644389676
238.7811282913181,-92.71423132574058
240.4362800006934,-99.09284586286334
242.102904673618,-91.70340613994216
243.7810818368755,-98.82772293407457
245.4708915685034,-96.69757602774466
247.1724145016132,-92.92421931278244
248.8857318282393,-96.65951399796182
250.6109253032116,-95.05338369442731
252.3480772480578,-98.21247401281607
254.0972705549306,-100.2492580001595
255.8585886905648,-90.72128510608169
257.6321157002578,-96.79824710253069
259.4179362118818,-95.35567815574412
261.2161354399208,-93.28230052830209
263.0267991895385,-100.7765882039899
264.8500138606703,-96.40094317354333
266.6858664521483,-95.61616872199856
268.5344445658509,-97.12669403412569
270.3958364108846,-92.40584867967692
272.2701308077915,-89.22050989262708
274.1574171927887,-93.78065382736185
276.0577856220347,-101.4243975240452
277.9713267759291,-96.7507431688831
279.8981319634366,-100.6061176363427
281.8382931264458,-95.40942348287155
283.7919028441558,-92.80655008097982
285.7590543374949,-99.05844342647467
287.7398414735673,-97.29460521709393
289.7343587701328,-93.49237061975768
291.7427014001169,-89.1702485415383
293.7649651961534,-96.39655852258265
295.801246655155,-103.7576997104829
297.8516429429194,-86.76501474657775
299.9162518987653,-95.13717041280611
301.9951720402019,-92.30261951412848
304.0885025676283,-101.2203677184459
306.1963433690682,-95.29307397662478
308.3187950249356,-93.11368188152059
310.4559588128359,-95.42633592046435
312.6079367123959,-90.11292035149015
314.774831410132,-91.81885625892383
316.9567463043493,-99.19445487281557
319.1537855100765,-85.503879180029
321.3660538640322,-91.03661716907496
323.5936569296288,-93.47947617943805
325.836701002009,-88.57443813834067
328.0952931131191,-91.2393613743028
330.3695410368152,-90.26194191093902
332.6595532940047,-89.94426639131393
334.9654391578279,-91.99668793586943
337.2873086588689,-87.66967017709071
339.6252725904089,-91.49318430167391
341.979442513709,-88.30154564350684
344.3499307633388,-89.81820191143383
346.7368504525317,-89.54316186089157
349.1403154785866,-87.21913359316278
351.5604405282983,-89.22491748178059
353.997341083435,-86.63967418965404
356.4511334262443,-85.68854392936063
358.9219346450057,-85.47533332061306
361.4098626396135,-92.91266604058534
363.9150361272075,-92.37385885911416
366.4375746478333,-86.47277778339139
368.9775985701509,-87.23402844577349
371.5352290971728,-84.84749611932516
374.1105882720537,-88.62322270362486
376.7037989839089,-87.96779433846076
379.3149849736825,-88.02430338174709
381.9442708400468,-85.56390069074864
384.5917820453539,-84.80767896596417
387.2576449216173,-83.03277596751384
389.941986676544,-82.20851495478293
392.6449353996001,-83.18216371754247
395.3666200681283,-84.52538555590827
398.1071705534973,-81.65897218410382
400.8667176273034,-85.58446190217947
403.6453929676053,-82.32806890680371
406.4433291652131,-83.13674629486549
409.260659730011,-82.83950167724117
412.0975190973304,-84.66877928799266
414.9540426343632,-84.06774995063138
417.8303666466222,-81.23769123839227
420.7266283844442,-80.40519139346797
423.6429660495414,-78.46191189483301
426.5795188015931,-80.00459410387069
429.5364267648877,-80.12661292527628
432.5138310350089,-81.06055116062782
435.5118736855688,-79.80288729342615
438.530697774986,-80.72969178902086
441.5704473533129,-79.26911858936298
444.6312674691089,-79.14755041924438
447.7133041763628,-78.39971600523478
450.8167045414605,-81.16806890170294
453.9416166502037,-79.46241394662245
457.0881896148752,-78.91469179312911
460.2565735813563,-77.42082009370536
463.4469197362884,-79.57419379234938
466.6593803142892,-75.93971138761015
469.8941086052156,-78.81233925150872
473.1512589614808,-76.31232809524107
476.4309868054161,-76.17603232872561
479.7334486366897,-77.22853599235455
483.0588020397728,-75.94776944611844
486.4072056914619,-76.3392390777246
489.7788193684466,-75.82357170050182
493.1738039549364,-75.69908504613664
496.5923214503363,-74.17928262944721
500.0345349769788,-74.87078632940407
503.5006087879053,-73.87047227925875
506.990708274705,-74.1136243984906
510.5049999754065,-73.09394284891391
514.0436515824264,-73.35075212002843
517.6068319505681,-73.1833038684606
521.1947111050811,-71.9001555537105
524.8074602497728,-72.8912201483282
528.4452517751807,-71.92463187824158
532.1082592667947,-71.73476713697188
535.7966575133422,-71.87654787260982
539.5106225151279,-71.62529194766522
543.2503314924336,-71.17228383793082
547.0159628939721,-70.58324984163025
550.8076964054042,-69.64663684746529
554.625712957911,-69.73588112694549
558.4701947368312,-70.09958874329885
562.3413251903496,-69.12154783551428
566.2392890382534,-68.72916815293222
570.1642722807478,-67.6662560418834
574.116462207328,-67.96053861460945
578.0960474057187,-67.57576903617523
582.1032177708717,-67.69997323891008
586.1381645140291,-66.97133894343561
590.2010801718448,-66.79759903392812
594.2921586155733,-66.85019044834449
598.4115950603199,-66.22826544061974
602.5595860743581,-66.08992590656561
606.7363295885059,-65.96711749959924
610.9420249055727,-66.10882149821281
615.1768727098683,-65.34318965107816
619.4410750767818,-64.71947458545353
623.7348354824198,-64.38460936709306
628.0583588133186,-64.56642841449387
632.4118513762197,-63.3109674383962
636.7955209079162,-63.55934259152116
641.2095765851623,-63.09065658553646
645.6542290346563,-62.83632988948315
650.1296903430909,-62.69499841179717
654.6361740672754,-62.23219573181493
659.1738952443219,-61.83419129545956
663.7430704019097,-61.5579044798617
668.3439175686149,-61.20804498950331
672.9766562843182,-60.95928298947344
677.6415076106757,-60.88197912168647
682.3386941416704,-60.12349293593091
687.0684400142325,-59.88209410647358
691.8309709189369,-59.63319066200626
696.6265141107694,-59.19428148848029
701.4552984199721,-59.16544564454833
706.3175542629623,-58.68970767627219
711.2135136533295,-58.60021895317809
716.143410212902,-57.93829083182008
721.1074791829004,-58.02972842357538
726.1059574351551,-57.72814327173485
731.1390834834181,-57.11726930001788
